제목,질문,답변
기립성 저혈압 맞나요? 검사 받고싶어요,"안녕하세요. 회사에서 자차가 필요한 쪽으로 발령내는데제가 일상생활에서 이명, 어지러움, 앞이 안보일 때가 있어서 운전을 안합니다.사고날까봐요..예로 집에서 천장등 윗쪽을 보려고 고개를 위로 올리면 머릿속에서 윙-소리나고 어지럽고 순간 앞이 안보여요(빨리 치켜든게 아닌데도 그렇습니다 천천히 고개를 들어도 위를 보면 그래요. 그래서 높은곳에 있는 물건을 못꺼내요)또 뒤에서 부르는 사람을 쳐다보려고 고개를 돌릴때도 앞이 안보이는 현상, 이명, 어지러움이 있습니다위쪽을 보는게 아닌데도 고개 방향을 바꾸면 그렇다는거죠앉아있다가 일어나면 마찬가지로 위와 같은 증상이 있고요인터넷 찾아보니 기립성 저혈압같아서위험해서 운전 못하니 감안해달라고 하니그럼 병원에서 진단서를 떼어오면 감안해보겠다고 합니다..제가 기립성 저혈압 증상이 맞을까요? 혈압은 정상인데피 많이나면 어지럽고 토할때도 있습니다. 헌혈할때가 그렇고요사랑니 뽑을땐 피 많이흘려서 병원에서 쓰러졌어요검사 받으려면 어느 병원 가아하는지랑 진단서를 받을 수 있을지 궁금합니다","신경과에서 다루는 증상 들입니다. ​기립성 저혈압인지, bloody syncope 이라고 미주신경성 실신인지, --> 자율신경계 이상. 뇌혈관 , 경동맥 협착에 의한 증상 등을 감별해야 할 듯합니다. ​웬만한 신경과 진료에서 상기 검사 가 가능할 겁니다."
고등학교.,고1 학생인데 학교도 병결이나 병원간다고 학교 늦게 간적이 많고 성적도 바닥이에요 이제 정신차리고 공부하려고 하는데 성적올리고 2학년때 안빠지고 잘 다니면 대학갈수있을까요?면접으로 가기는 힘들겠죠?수시로 가려고요내공 100길게 써주면 드릴께요,대학을 가는 건 어렵지 않은데 어느 대학을 가느냐가 문제입니다. 단순히 출결만 잘한다고 갈 수 있는 건 아니죠. 좋은 성적이 수반되어야 적어도 본인이 들어본 학교는 갈 수 있을 겁니다. 다만 본인의 기준치에 못 미치는 대학이라면 수시를 과감히 포기하고 정시로 바꾸는 것도 하나의 방법이 되지 않을까 생각합니다.
간 이 안좋은지 검사해보려면 어느 병원가야하나요?,간 진료받으려면 내과 가야하나요?,내과에 가셔서혈액검사와간초음파 검사를 하면간상태를 정확히 알 수 있습니다.
머리를 감다보니 왼쪽 뒷통수 통증이,제목 그대로입니다머리감으면서 여기저기 문질문질 긁적긁적하는데 왼쬑 뒤통수가 누르면 통증이 있습니다.안 만지면 아무렇지않은데 누르면 어! 어? 어! 하는 정도의..일시적인건지 그전부터 그랬는지는 모르겠습니다더듬더듬 만지다 보니 어느 한곳이 눌렀을때 어!!???하는 통증이 있어요.뭐라고 설명해야할지 모르겠네요..넉넉한 삶도 아닌데 머리다 보니 글 올립니다.,"안녕하세요. 하이닥-네이버 지식iN 상담의 김영준 입니다.문의해 주셔서 감사합니다. 질문자님께서 뇌질환을 의심하고 계신 듯한데요.질문자님께서 작성하신 증상만으로 어떤 종류의 뇌질환인지 곧바로 진단할 수 있으면 좋겠습니다만, 뇌질환을 확정하는 특정한 증상이 따로 있는 것이 아니기 때문에 의심되는 증상이 발생하였다면 꼭 뇌질환이 아니더라도 병원에 가 보시는 것이 좋겠습니다. 뇌질환을 진단하기위해서 기본적으로 뇌에 대한 영상 검사가 필수적이기때문에 CT 나 MRI 가 가능한 병원에 신경과나 신경외과를 방문해서 진료를 받으시기 바랍니다. CT는 보험적용이 가능하고 MRI도 2018년 10월부터 전문의 소견에 따라 보험적용을 받습니다만 간혹 뇌질환의 진단이 되지 않으면 보험이 되지 않을 수도 있어 고가의 검사가 됨을 참고로 진행하시면 되겠습니다. 답변이 도움이 되었기를 바랍니다. 감사합니다."
무릎굽히는게 힘들어요,5일전 넘어져서 무릎을 다쳤는데 상처때문인지 무릎 굽히는게 힘들고 가만히 있거나 걸을 때 마다 넘 아파요5일 정도 되었으면 상처도 어느 정도 아물고 해야 되는데 그대로 인거 같고 미칠것 같아요.다시 병원 진료를 봐야 할 것 같은데 정형외과로 가야 할까요?,메디폼 꼭 붙히세요
,,"물아닿지않게 하시고, 연고 잘 발라주시면 됩니다"
,,무릎아플때 꿀이나 흑설탕 한스푼 드셔보세요피부질환은 마늘음식을 드시는게 좋으니 김치 많이 드세요
,,"무릎이 굽히는 데 힘이 들거나 불편함을 느낀다면 다양한 원인이 있을 수 있습니다. 무릎 관절의 염증 또는 연골 손상으로 인해 굽히기가 힘들고 통증이 나타날 수 있습니다.휴식, 물리 치료, 통증 관리를 위한 약물 등을 고려할 수 있습니다. 전문의 상담이 필요합니다.​무릎 주변의 낭종이나 병변이 굽히는 동작을 제한할 수 있습니다.내과나 정형외과 전문의의 상담이 필요하며 적절한 영상 검사를 통해 원인을 확인해야 합니다."
고3 여자 키성장,생리 중3병원 갔는데 척추는 열려있다함현재 159이고 지금 고2여자이구 이제 곧 고3 되는데운동하고 노력하면 몇센치까지 가능할까요ㅠㅠㅠㅠ언니는 165고 아빠가 178 엄마가 160이시구어렸을때 검사로는 165 나왔는데 중딩때 다이어트 해서그런가 ㅠㅠㅠ 암튼 어느정도까지 가능할까요 젭알 퓨ㅠㅠㅠㅠ,​고3 여자 키성장생리 중3병원 갔는데 척추는 열려있다함​현재 159이고 지금 고2여자이구 이제 곧 고3 되는데운동하고 노력하면 몇센치까지 가능할까요ㅠㅠㅠㅠ​언니는 165고 아빠가 178 엄마가 160이시구어렸을때 검사로는 165 나왔는데 중딩때 다이어트 해서그런가 ㅠㅠㅠ 암튼 어느정도까지 가능할까요 젭알 퓨ㅠㅠㅠㅠ​말씀하신 질문에 답변드려봐요​약 165cm까지 가능합니다.
,,"얼만큼 더 클수 있는지는 성장판 검사를 해보셔야 합니다.정확한 것은 가까운 정형외과 병원에서 성장판 검사를 하실수 있구요.보통 4-5만원 정도의 비용이 들어갑니다.​키성장 시기에는 급성장기가 있고 정체기가 있습니다.조급해 하지 마시고...​5대 영양소의 균형 잡힌 섭취와 스트레칭, 줄넘기, 농구등의 점프 동작의 운동이 좋고하루30분~1시간 이상 하시면 도움이 됩니다.운동의 횟수나 시간 보다는 매일같이 꾸준히 하는 것이 좋구요.실내운동은 유투브에서 키성장 운동 으로 검색 하시면 다양한 영상이 있으니 참고 하세요.​​5대 영양소란?탄수화물 : 에너지 대부분을 공급하는 열량원. 쌀등의 곡류나 감자 채소등.지방 : 체온조절과 장기보호 기능. 동물성 포화지방산, 식물성 불포화지방산.단백질 : 20여 가지 아미노산. 동물성 및 식물성 단백질 육류,어류,달걀,콩,유제품등.비타민 : 탄수화물등으로 부터 열량을 생산하는 과정에 기여. 지용성 및 수용성 비타민.무기질 : 신경계 기능, 대사, 수분평형 및 골격구조에 중요한 역할.​결론적으로 편식을 하지 않고 식사시에 골고루 잘 드시는 것이 좋으며..기본적인 종합영양제나 종합비타민제를 드시는 것도 도움이 될수 있습니다.​그리고 성장호르몬이 나오는 시간인 밤10시 이전의 취침이 중요합니다.답변이 도움이 되셨다면 채택 꼭 부탁 드립니다.​추가로 궁금하신 사항은 답변 채택 후 댓글로 문의 주시면 빠르게 답변 드리겠습니다.​​​"
예전에 mri찍었을 때 상태에 대한 문의,"안녕하세요 제가 3년전 쯤에 허리디스크를 수술하면서 그 전에mri 찍은게 있는데, 그 때 허리디스크가 신경을 몇%정도 누르고 있었는지 물어보고 싶은데. 이런 경우는 무조건 병원에가서 mri 검사 결과를 발급을 받아야하나요? 아니면 그냥 간단하게 디스크가 신경을 어느정도 누르고 있는지만 묻고싶은 거라서 전화로도 문의가 가능한가요?",안녕하세요 천기 기공 통증 크리닉 원장입니다 말씀하신 척추 디스크 신경압박이 몇%인지는 해당병원에 담당 의사에게 문의하시는 알수있습니다아니면 mri사진을 올려주시면 판독이 가능하겠습니다
,,"MRI사진만 있다면 가능은 하지만 가장 정확한 것은 담당의사분 이시겠죠.병원에서 진단서류는 보완문제로 통화로는 힘들 겁니다.​참고로답변자는 완치자라 자언하는 경험자 입니다.허리디스크 시술,수술 둘다 해봤고 수술 이후 일상생활만 겨우 가능했으나 일상생활 행동만으로 허리가 아파 고생 참 많았죠.아마 질문하시는게 저와 같이 또는 그 이상 고통적 생활,치료 문제로 질문하는 듯 보이네요.​그리고, 이 고생만 한 것도 아닌 반대가 있죠.일상생활만 해도 허리 아파 오는게 재악화증상 오는듯 하여 일상생활, 일도 못하고 거의 누워 살며 생활치료들 좋다는 것을 해보며 한편으로 원인이 뭘까 고민 했죠.​그러다가, 만든 철봉운동치료 하다가 원인 생각들어 또 운동치료 만들고 호전되여 다시 일할수 있었고일이 재악화될 중량물 드는 등 일이라 크게 재악화 와서 다시 하던 생활치료로 겨우 일할정도 회복하여 일하다가 부족한 일하면서 할 운동치료를 또 만들어 하면서 생활치료법 근처까지 도달 했죠.뭐 그후는 점점 좋아져 유지도 되더군요.​완치자라 하는게 큰 재악화 이후 소소한 작은 허리 아픈 재악화 증상은 있었으나 일에 지장이 없었고큰 재악화 증상 있고 혼자 생활치료 이후 10년이상 지내서죠.​생활치료에 운동치료를 중점적으로 했기에 운동치료만 있는 것은 아니나 운동치료조차 거의 또는 전부 모른다 보이니 문제겠죠.운동치료는 3가지 회복 목적으로 하는데 의사분들 운동으로 근력강화하더군요.이게 3가지 회복 목적에 하는 것은 맞으나 마지막 회복 과정에 하는 것이라 경험했으니 모르고 하는 소리로 들려 이야기 해봅니다.​참고적 조언한다는게 말 길어 죄송 합니다.세상은 내가 아는 반이고 반은 모르는 것으로 어느 누군가는 아무도 가보거나 경험하지 않은 것을 경험한 자도 있겠죠.뭐 저 일지 아닐지는 제가 판단할 일은 아닙니다만 그런 경험한듯 느끼니 하는 소립니다.완치자라는 것도 그런 것 이고요."
,,영상 판독에 몇 % 눌려있다고 나오진 않습니다. 검사하신 병원을 방문하셔서 진료 보시면서 상의하시는 것이 현실적인 방법입니다.전화로 문의는 불가합니다.
밑가슴통증,안녕하세요. 밑가슴부터 속옷 와이어 라인까지 멍든 것 처럼 자꾸 통증이 느껴지는데 왜 그런걸까요? 오른쪽 등(날갯죽지쪽)도 통증이 있습니다. 관련이 있을까요?마지막으로 고개를 숙이면 오른쪽 다리가 전기 오른것처럼 찌릿하는데 이 또한 관련이 있을까요?가슴통증때문에 불편하네요. 병원을 내원한다면 어느 병원으로 가야할까요?,"안녕하세요. 하이닥-네이버 지식iN 상담의 이이호 입니다.​귀하의 증상은 다음과 같은 원인으로 발생할 수 있습니다.흉막염흉막염은 폐와 가슴벽을 감싸고 있는 흉막에 염증이 생기는 질환입니다. 흉막염은 다음과 같은 원인으로 발생할 수 있습니다. * 바이러스 감염 * 세균 감염 * 폐렴 * 암 * 외상귀하의 경우, 멍든 것처럼 통증이 느껴지고, 오른쪽 등도 통증이 있다는 점에서 흉막염의 가능성이 있습니다. 또한, 고개를 숙이면 오른쪽 다리가 찌릿하는 증상은 흉막염으로 인해 신경이 눌리면서 발생할 수 있습니다.늑간신경통늑간신경통은 늑골 사이를 지나가는 신경이 눌리거나 손상되어 발생하는 통증입니다. 늑간신경통은 다음과 같은 원인으로 발생할 수 있습니다. * 과도한 운동이나 무리한 활동 * 퇴행성 관절염 * 흉부 외상 * 척추 질환 * 종양귀하의 경우, 밑가슴부터 속옷 와이어 라인까지 통증이 느껴진다는 점에서 늑간신경통의 가능성이 있습니다. 또한, 오른쪽 등도 통증이 있다는 점에서 늑간신경통으로 인해 신경이 눌리면서 발생할 수 있습니다.심장 질환심장 질환은 심장의 기능에 문제가 발생하는 질환입니다. 심장 질환은 다음과 같은 원인으로 발생할 수 있습니다. * 협심증 * 심근경색 * 심부전 * 심방세동귀하의 경우, 통증의 양상과 위치가 심장 질환의 증상과 유사합니다. 따라서 심장 질환의 가능성을 배제하기 위해서는 심장 검사를 받아보는 것이 좋습니다.귀하의 경우, 증상이 심하거나 일상생활에 지장을 준다면 병원을 방문하여 진료를 받아 보시기 바랍니다. 병원을 내원할 때는 현재의 증상과 과거의 질환, 복용 중인 약물 등을 자세히 알려주시기 바랍니다.병원을 내원할 때는 내과나 흉부외과를 방문하시면 됩니다."
M자 이마 때문에 스트레스 받습니다..,보통 사람들 이마는 이마 헤어라인이 ㅡ 자로 되어있잖아요.근데 저는 선천적으로 조금 엠자입니다.제일 높은곳이랑 헤어라인 시작부분이랑 길이 재니깐 오차가 무려 0.4~0.5cm 되는 것 같습니다.평소 스타일로는 당연히 가려지는데 은근 스트레스 받아서요. 태어날때부터 이런 이마니깐 탈모는 아닌거 같구요.그냥 요새 모발이 얇아진 느낌적인 느낌이라 판시딜 먹고 있습니다. 일단 2달치 사서 이제 2주 됐는데 나중에 점점 심해지거나 그러진 않겠죠?,선천적으로 엠자인 사람들 많습니다~​파인부분 미리수 잘 체크하시고 만약 빠지는것 같다면 약드시면 더이상 진행안되요.
