제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.07.07.|2018.07.11.&section=kin&page=1
헬리콥터가 저희 아파트단지 근처쪽에서 엄청낮게날던데,어제 저녁쯤에 어떤 헬리콥터가 거의 아파트랑 비슷한높이로 날아다니고있던데 아니 사람이 이렇게 많이사는곳에서 저래도 되는건가요?,"**특별한 경우.. 즉 비상 상태 등이 아리라면 항공기 - 헬기 등도 비행고도, 소음 등에 대한 규정이 있습니다.그 규정이 맞다 하더라도 저공비행으로 주민 생활에 자주- 지속적으로 악영향을 끼치면 관계기관등에 민원을 제기 할 수 있고 대책을 요구할 수 있습니다.절대 정상적인 것은 아닙니다.그러나 특별한 이유가 있다면 그 이유를 사전에 관공서, 지자체 등에 통보 의무도 있습니다.~!@참고하시고.의문점, 궁금한 점은 추가 질문으로 올리세요."
발기부전이 되고 싶은데....,어떻게 해야 할까요??병원에 가면 되나요??,"안녕하세요. 어떤 이유에서 발기부전이 되고 싶으신지 비뇨의학과에 내원하셔서 진료를 보시고 상담하시기바랍니다. 발기를 줄여 줄 수 있는 약들은 있으나, 장기간 복용시에는 부작용이 발생할 수 있습니다.감사합니다."
발기부전이 되고 싶은데....,어떻게 해야 할까요??병원에 가면 되나요??,나중에 후회 하실 걸요??
발기부전이 되고 싶은데....,어떻게 해야 할까요??병원에 가면 되나요??,포경수술은 포피를 바짝 잘라내기 때문에 발기했을 때 포피부족으로 덜 늘어나 길이가 3~4cm 정도 짧아지고 발기력이 약해집니다. 밤에 잘 때 팬티 벗고 자면 부교감 신경이 활성화되어 건강 증진에 도움이 되고 성기가 아픈 데도 좋습니다.성기 확대기로 물리 운동을 해주면 귀두가 노출이 되기 때문에 포경수술을 하지 않아도 됩니다. 성기 확대기는 의료기기 판매점이나 성인용품점에서 구입이 가능합니다. 가격은 대략 3~5만 원입니다.
발기부전이 되고 싶은데....,어떻게 해야 할까요??병원에 가면 되나요??,"건강한 남자들은 발기가 잘 되기를 바라는데 질문자는 무슨 이유인지 알 수는 없으나발기부전을 희망하니 좀 독특하군요. 그럼, 궁금사항에 대한 답변 입니다.1. 어떻게 해야 할까요??병원에 가면 되나요??** 병원에 가서 진료후 약을 복용하면 일시적으로 될 수는 있으나, 장기간 약을 먹을시 몸에    좋지는 않습니다. 남성들은 발기가 잘 되기를 희망하는데, 질문자는 독특하군요. 발기가    질 된다는것은 몸이 건강하다는 것 입니다. 인내력으로 참고 견디어 내는 것이 최고 입니다.    사나이가 두주먹 불끈 쥐고, 이를 악물고 하면 못할 것이 없습니다. "" 참는자에게 복이 온다""    라는 말이 있듯이, "" 자기자신과의 싸움에서 이기는 자가 진정한 승리자 입니다."" 자신과의    싸움에서 승리하십시요. 발기가 계속되어 생활에 지장을 초래할때는 ""귀후지개 또는 면봉""    으로 귓속을 살살 후비면 일시적으로 발기가 풀려 여러사람들 앞에서 민망함을 모면 할 수    가 있으니 한번 해 보세요. 질문자는 매우 건강체질 입니다.  또한 질문자는 매우 좋은 몸을    가지고 있으니, 몸 관리 잘하여 우리나라를 빛낼 훌륭한ceo되세요."
발기부전이 되고 싶은데....,어떻게 해야 할까요??병원에 가면 되나요??,왜 그런 것을 바라는지는 모르겠지만나중에 후회할 수 있으니 잘 생각하시고요.정말 원한다면 병원에서 알아보기 바랍니다.(일부 약 부작용으로 그럴 수 있는 것으로 압니다)
생리를 2달째 하고있습니다..,"안녕하세요. 생리를 2달째 하고있어서 질문 올립니다.지금 나이는 중2구요. 생리 시작은 초6 겨울때부터 시작했습니다.어머님이 수간호사인지라 물어봤는데, 생리를 하고 몇년정도는 그럴수 있다고 하시고, 스트레스 때문일수도 있다고 하시더라구요.마침 스트레스받고있던 일도 있었던지라 스트레스 때문인걸로 알았는데,노래방에 가서 스트레스 해소도 하고 스트레스 받는일도 양쪽 다 좋게 끝났거든요?그런데도 생리가 끝나지를 않아서 말입니다. 벌써 2달동안 쓰는 생리대만 몇봉지째인지.. 돈도 어마어마하구요.그렇다고 자위를 많이 한다거나심하게한다거나 하는것도아니구요.아예 안합니다.왜 이러는건지 모르겠네요. 무엇보다 생리를 한다는 기분이 아니라 피가 난다는 기분입니다. 뭐라고 해야하지.. 분비물과 피가 섞여서 나온다고 해야하나. 그렇습니다.빈혈도 심하고, 아랫배도 좀 아픕니다.아무래도 병원을 가봐야 하겠지요?산부인과에 가면 어떤방식으로 검사를 하는지도 알려주시면 감사하겠습니다.항문이나 질 입구를 통해서 기구를 삽입해 검사를 했다는 말을 듣고 조금 놀래서... ㅠㅠ아무래도 어린 나이인지라....ㅠㅠ;;빠르고 정확한 답변 부탁드립니다 ㅠㅠ...","안녕하세요. 하이닥-네이버 지식인 산부인과 상담을 하고 있는 전문의 심상인 입니다.생리불순으로 문의를 하셨군요.생리를 시작한지 얼마되지 않거나 청소년기의 경우 생리불순이비교적 흔하게 있습니다.아직 생리기전이 확실히 확립되지 못해서입니다.한편 몸이 피곤하거나 컨디션 저하, 호르몬 이상, 자궁,난소 이상, 스트레스,약물복용, 체중변화,갑상선이나 기타 내분비 혹은 전신질환등다른 여러가지 상황에서도 그럴 수 있습니다.정확한 것은 검사를 해봐야 알 수 있습니다.가까운 산부인과에서 진찰을 받아보시기 바랍니다."
사진에 오른쪽 눈옆 머리쪽이 피가 쏠리는 느낌을 자주받아요 스트레스 받고나 신경쓸일이 생길때 불편할정도의 통증이 있구요 단순히 두통이라기 보다혈관쪽 느낌같아요 압박하는 느낌 있어요뇌경색 전조증상이 잦은 피로감에 말투가 어눌해 진다고 했는데 그정도까짐 아니지만 요즘 말투가 발음이 정확히 안나온다는 느낌이 잇었구요조금만 일해도 피로감을 많이 느껴 8-10시간 정도 잡니다.. 아이키우는 엄마라 그냥 운동부족이 아이돌본다고 몸이 피곤한가 보다 했는데 의심은 해볼만 해서요ㅠ이럴땐 어떤 병원에 가봐야 하나요~~,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,아무래도 머리쪽이다 보니 신경외과 쪽 가보셔야 할 것 같아요 ㅠㅠ 거기서 검사 먼저 해보시고 큰 병원 가셔서 검사 다시 한 번 해보시는 게 좋으실 것 같아요! 빨리 나으시길 바랍니다!
중2남학생을 둔 엄마입니다ㆍ참고로 중2의 동생 초6여동생은 아들과 정 반대입니다ㆍ예를들어‥방을 치운다거나 폰을 좀 그만한다거나ㆍ부모와 약속을 하고는 언제 치우겠다까지 본인이 얘길하게 하여 그시간에 보면 치우지않고 어기는 횟수가 계속 반복됩니다ㆍ그리고는 이런저런 핑계를 댑니다ㆍ엊그제는 아들의 요구?를 들어주면 설거지를 주3회하겠다더니 그것도 안지켜집니다ㆍ아들이 그런 제시를 했으면 중2면 지켜야한다고 보는데‥학원을 에이반 보다 높은 에스반 다니다 진도빨리나간다고 못참고 스스로 에이반에 보내달라고 하여 제가 나중에 알았습니다‥힘든상황을 견디지않습니다ㆍ못견디는건지 ㆍㆍ결국은 다시 에스반에 갔고 영수만 다니다 자기생각보다 다른과목성적이 덜 나왔다고 생각해 스스로 종합반에 들겠다하여 한달을 하더니 아예 학원을 안다니겠다고해서 아빠는 아들의 의사를 들어 쉬는상태‥이또래 아이들이 그러겠지만 자율권을 주어 오락은 매일 2시간ㆍ혹은 1시간반ㆍ이젠 종합반4시간짜리조차 안가니 더 폰에 집중ㆍ중1때 키크라고 친구들과 농구시작했으나 제일먼저 두달만에 자기스탈아니라며 그만두었습니다ㆍ저는 좀 강요?해서라도 연계시키려하는데 아빠의 교육방식은 싫다면 시키지마라는겁니다ㆍ저는 그 시기를 넘겨야 이겨낼 수 있다생각하는데‥종합학원 끊고 합기도를 친구들과 다니는데 임박해서 가거나 9시에 합기도시간인데도 오락하느라 9시에 헐레벌떡‥그제는 폰을 몇시까지봤는지 ㆍ낮에 학교에서 전화가와서ㆍ아들이 머리가 너무아프다고 양호실가서 약먹은지 2시간되도 아프다고 조퇴‥아빠가 집에 와서 병원가자니 안가도 된다고‥얘길들으니 밤늦게까지 폰‥아침6시일어나서 몰래 폰‥아빠에게 걸려 결국 폰압수‥이런상태입니다ㆍ아들이 자기 방어하기위해 계속 핑계ㆍ이런저런 작은 거짓말들을 하고ㆍ약속이행을 안하고ㆍ자기가 안좋은건 더이상 해보려하지않습니다ㆍ그러다보니 성적또한 제가 바라는? 상태는 아닙니다ㆍ평균보다 높다고 자랑ㅋ을 하니‥혹시 ADHD이런거일까요?그럼 약을 먹고 고치면 좋겠습니다ㆍ 중2의 평균은 아닌듯싶어서‥,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"질문자님이 자세하게 질문을 작성해주셔서 상황을 이해하는데 많은 도움이 되는 것 같습니다.많이 답답하시죠? ^^;이것저것 이야기할꺼리가 많고 드릴 이야기도 많습니다만,게시판의 특성상 여러 한계가 있기 때문에그 중에서 제일 중요한 것에 대해서 이야기 해보려 합니다.가장 먼저, 그리고 가장 시급한 것은 자녀분의 행동교정이 아니고부모님, 즉 아버지와 어머니 사이에 교육철학의 공유가 제대로 않된 것처럼 보입니다.초등시절까지, 요즘은 자유학기/학년제가 보편화되어 있기 때문에 중1까지는부모님의 상이한 교육철학이 크게 문제가 않될 수도 있습니다.하지만 중2부터는 다릅니다.어느 수준에 대학을 목표로 할 지를 잠정적으로 정해서 이제 학업적으로 달려야하는 시기이거든요.부모님 어느쪽의 방침이 나쁘다, 혹은 좋다라는 이야기가 아닙니다.어떤 방식이던 정해서 일관된 교육 환경을 구성해주는 것이 중요합니다.이게 먼저고, 이게 제대로 확립된 상태에서 그 틀에 맞게 자녀분의 행동교정이 이루어져야겠지요.당연한 이야기입니다. 하지만 쉽지는 않습니다. 그게 문제죠. ^^;어렵기 때문에 노력이 필요합니다.여름 휴가시즌도 다가오니 남편분과 잘 이야기를 나눠보세요.그런 노력들이 상황을 좋은 쪽으로 가게 할 겁니다.좋은 결과가 있기를~"
축구하다가 골키퍼했는데 이렇게 됬어요 어떤증상인가요? 오늘 병원갈꺼에요,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,피멍든거네요 가만히 있으면 낫습니다. 아파도 참아야죠손톱깎이로 잘라보면 안에서 피가 나올텐데 차라리 그냥 두면 붓기도 빠지고 통증도 사라집니다.
축구하다가 골키퍼했는데 이렇게 됬어요 어떤증상인가요? 오늘 병원갈꺼에요,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,피멍이니 병원에 가보세요.
그동안 폴리 끼우시고 생활하셨는데 더...,그동안 폴리 끼우시고 생활하셨는데 더 큰 병원으로 가보려고 합니다.진료 해봐야 알겠지만 그 다음 방법으로 어떤 방법이 있을까요?다양한 정보를 알고 가면 더 이해하기 편할거 같아서 질문드립니다.,"안녕하세요. 하이닥-네이버 지식iN 상담의 박지현 입니다.남성의 경우 도뇨관을 요도에 장기간 넣어놓게 되면, 요도협착등 기타 합병증 발생위험률이 높습니다.이 경우 치골상부방광루 라고 하여 배꼽 아래에 구멍을 뚫고,도뇨관을 방광으로 직접 삽입해놓는 방법이 있습니다.한달에 한 번씩 교체하는 방법입니다.감사합니다."
두드러기때문이 미칠것같습니다. 지난주 토요일부터 허벅지로 시작해서 지금은 온몸에 징그럽게 두드러기가 나와있네요.. 두드러기 반응 오는 음식 전혀 섭취하지 않고 현시간에도 기름기 없는음식 자극적이지 않은 음식만 섭취하는데 나아질 염려없고 심각해지기만하네요. 병원에서는 아낙필락시스라고 하는데..지금 상태보면 숨도 살짝막히고 걸리는 느낌도 나기 시작했네요. 어떡해야하죠? 큰병원가서 입원이라도 해야하는건가요?? 도와주세요 ㅜㅠ,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,아낙필락시스 이시라면 심각 하신 겁니다혹시 다니시는 병원에서 에피네프린 주사기를 처방해 주셨나요??언제 갑자기 쇼크가 올지 모르기 때문에 항상 어디를 가시던 에피네프린 주사를 가지고 다니셔야 합니다http://blog.naver.com/PostView.nhn?blogId=drsangwonlee&logNo=221064940389그리고 큰 대학병원에 알레르기 내과를 한번 가시면 어떨까요??어떤 음식인지 약물인지 알레르기 검사를 받으셔야 되실거 같습니다
두드러기때문이 미칠것같습니다. 지난주 토요일부터 허벅지로 시작해서 지금은 온몸에 징그럽게 두드러기가 나와있네요.. 두드러기 반응 오는 음식 전혀 섭취하지 않고 현시간에도 기름기 없는음식 자극적이지 않은 음식만 섭취하는데 나아질 염려없고 심각해지기만하네요. 병원에서는 아낙필락시스라고 하는데..지금 상태보면 숨도 살짝막히고 걸리는 느낌도 나기 시작했네요. 어떡해야하죠? 큰병원가서 입원이라도 해야하는건가요?? 도와주세요 ㅜㅠ,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"요즘들어 수면부족과 스트레스가 있진 않았는지요또는 본의 아니게 소스나 양념류로부터 고지방질의 식품을 드시진 않았는지요같은 식사 패턴일지라도 장내 면역체계와 장관내 균총균형은 사람마다 다릅니다그 두드러기나 아낙필락시스는 항체불균형의 질환입니다알러지나 두드러기나 아토피나 아낙필락시스가 무조건 치료되는 상세한 정보는 위 상단의 둥근사진을 클릭하여 내부 사이트를 참고하세요두드러기든 아토피든 알러지든  아낙필락시스는 장관면역계의 항체형성 및 함량 균형이 깨져서 나타나는 질환입니다. 그데로 두시면 더욱 악화되어 더 고생할 수 있으니 빠르게 치유하시면 반드시 해결될 수 있습니다. 물론 음식은 두드러기증상의 원인이 아니고 일시적인 자극이지만 특정 음식물 등, 환경에 민감하게 반응하는 것도 결과적으로는 피부기능이 떨어져 있기 때문에 증상이 발생하기도 합니다. 그렇다면 유익균 섭취를 통해서 체질개선으로 몸의 기능을 활성화시키려면 떨어진 기능, 즉 면역체계를 구축, 개선하면 반드시 치유될 수 있습니다. 그 도움의 말씀을 드립니다. 알러지의 반응 및 증상반응은 몇 시간 내시는 몇 분 정도로 매우 빠르게 나타나며, 주로 설사부터 복통, 근지러움, 혀 또는 입술의 붓기, 호흡곤란 혹은 생명을 위협하는 반응인 아낙필락시스(anaphylaxis)까지 나타날 수 있습니다. 그렇다고 처방으로 인한 약은  장내 유해균과 유익균을 동시에 사멸시키면서 장내 좋은 유익균이 증식할 수 있는 환경마저 변형시키고 사용을 중지하게 되면 그전보다 더 심하게 악화되면서 뒤집어져 대다수 분들이 고통에 시달리는 사례를 많이 접하고 있으니 신중하게 고민하셔야 합니다. 그렇지만 걱정 없습니다.그 고민, 첨단의 현대과학이 해결합니다.그것도 많이 섭취해도 전혀 해가 없는 유익균 식품으로 치료되기 때문입니다.국내외에 효능보장과 품질보장으로 김치에서 추출한 생동하는 유산균인 강력한 유산균으로 반드시 치유될 수 있습니다.      (각종 유익균 중의 강력한 유산균 섭취로서 알러지와 똑 같은 아토피 등 피부염이     빠르게 치료되는 실제모습) 대부분의 사람은 알러지 반응이 있습니다.다만 흔히 접하는 물질이나 희귀하게 접하는 물질이냐가 다를 뿐 입니다.어떤 분은 쌀밥에 대한 알러지가 있는 분도 있습니다.두류나 계란, 우유에 대한 알러지가 있는 분도 있구요.이제는 그 원인을 알기에 무조건 알러지 치료됩니다.  아낙필락시스나 알러지 반응은 피부 내 항체불균형에서 비롯됩니다.피부 내 항체불균형은 장관면역계에서 비롯됩니다.장관면역계를 정상으로 바로 잡는 데는 생동하는 강력한 유산균입니다.무척 속도 있게 인체 내 항체 균형을 만들어 내기에 수많은 분들이 알러지와 아토피와비염들이 치료되었습니다. 장내가 건강하면 겉의 피부도 아름다움도 저절로 형성됩니다.과거에 비하여 현대인들은 생활환경이 위생적으로 많이 개선됨으로서 어릴 때부터 여러 가지 감염의 노출 기회가 없고, 공해나 농약 사용 등에 의한 중금속 노출의 기회가 잦아지는 등 여러 가지 환경적 요인에 의하여 알러지를 포함한 알러지 증상을 호소하는 사람의 비율이 증가되고 있습니다. 피부 알러지 증상은 면역반응의 어긋남에 기인된 반응으로 약 70-80%의 경우 IgE type항체가 관여하고 있습니다. IgE 항체는 원래 기생충 등에 대항하는 항체이나 비감염성외래물질(꽃가루, 먼지 등)에 대하여 생성되는 면역과민 반응이며 염증을 같이 동반하고 있습니다. 가려움증이나 알러지 환자의 경우 TGF-beta를 생산하는 Treg cell의 위축은 결국 IgA의생산을 감소하게 되며 이 결과는 현재 임상실험 연구결과에서 증명되고 있습니다.강력한 발육력과 생동력을 보이는 유산균은 장내에서 여러 가지 원인으로 변형된 미생물군(microflora)를 정상화시킴으로 장관의 상태를 건강상태로 유지시키는 기능이 있음은 잘 알려져 있습니다. 즉, 강력한 유산균은 장관내로 들어온 감염성 미생물에 대한 면역반응(IL-10 and TGF-b)을 유도함으로서 IgA 항체 및 항 미생물 물질을 생산케 함으로서 장관내 감염을 억제하는 효능을 가집니다. 이러한 결과는 김치에서 추출한 강력한 유산균이 알러지를 억제할 수 있다는 것입니다. 지금부터는 근본적인 치유 및 관리가  더 중요합니다. 면역체계가 균형을 이루지 못하면 알러지나 아토피,가려움증,  아낙필락시스 등이 발생합니다. 현대인들은 문명사회에서 살다보니 인체 내 가장 중요한 공장시스템 핵심제어 장치격인 장내면역 균형이 깨져서 발생하는 것으로 많은 과학자들의 의해 밝혀졌습니다.                  (매우 극심한  알러지, 악성 피부염으로 어긋난 피부가 첨단과학의 유산균섭취로         치료되는 실제 모습) 아주 강력하게 장관에서 생동하도록 만든 강력한 유산균은 장관 면역체계를 긍정적으로 변화시켜 알레르기질환, 아토피성 피부염, 비염, 가려움증, 여드름 등의 질병을 개선 및 치료할 수 있습니다.그 염증성의 알러지,아토피,악성피부염 치료에는 김치에서 추출한 생동하는  유산균 균종이 매우 효과적입니다.질의님도 남들이 치료된 것처럼 말끔하게 치료될 수 있습니다. 지금 시중엔 효과가 미약한 갖가지 유산균도 너무 많은 제품이 있으니 꼼꼼히 따져 보시고 신중하게 결정하시기 바랍니다, 균주 중에서도 얼마나 건강한지  완벽한 코팅으로 장내 까지 얼마나 살아갈 수 있는 지와 어떤 성분 (식물성)인지 가 중요합니다.  내용들이 도움 되시면 채택 부탁드립니다.고통과 괴로움을 주는 아낙필락시스나 알러지나 두드러기나 아토피가 무조건 치료되는 상세한 정보는 위 상단의 둥근사진을 클릭하여 내부 사이트를 참고하세요.또는 이멜 tenstens@hanmail.net 로 문의하시면 빠른 치료제의 답변을 드리겠습니다"
두드러기때문이 미칠것같습니다. 지난주 토요일부터 허벅지로 시작해서 지금은 온몸에 징그럽게 두드러기가 나와있네요.. 두드러기 반응 오는 음식 전혀 섭취하지 않고 현시간에도 기름기 없는음식 자극적이지 않은 음식만 섭취하는데 나아질 염려없고 심각해지기만하네요. 병원에서는 아낙필락시스라고 하는데..지금 상태보면 숨도 살짝막히고 걸리는 느낌도 나기 시작했네요. 어떡해야하죠? 큰병원가서 입원이라도 해야하는건가요?? 도와주세요 ㅜㅠ,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"안녕하세요^^지난주 부터 갑자기 나타난 두드러기로 문의를 주셨는데요두드러기는 다양한 형태나 모양으로 나타날 수 있고 발생부위도 일정치 않습니다두드러기는 세포의 손상이며, 가려움증과 팽진, 피부발적을 주증상으로 하는 피부질환입니다닫힌모공으로 피부온도는 상승하게 되고, 이로 인한 열쏠림현상이 나타나 발생하게 됩니다.식사를 하거나 운동 과도한 스트레스 등에 의해 몸속에서 열에너지가 발생하게 되고,발생된 열 에너지가 피부밖으로 원활하게 방출이 되지 못해 피부온도는 급상승하고,  표면장력은 약해져 피부밖으로 밀어내는 힘이 강해집니다.이때 피부융기현상인 팽진과 강제적으로 열에너지를 방출하려는 행위인 가려움증까지 동반하게 됩니다스테로이드제나 항히스타민제는 증상을 근본적으로 치료하는 약물이 아니고,증상을 일시적으로 완화시켜주는 약물이어서 치료하여도 증상이 낫지 않고 반복하여 나타납니다.두드러기가 왜 발생 되었는지를 잘 이해하시고 치료하시면 치료방법을 찾기란 어렵지 않습니다.두드러기를 한의원에서 치료하고자 할 때에는, 체질개선 방법이라도 한의원마다 치료방법이 다르고,한의원마다 치료비용도 많은 차이가 있으니, 잘 검토하고 신중하게 선택하시길 바라겠습니다.아래 자료 참고하시고 좋은 결과 있으시길 바랍니다 ^^"
두드러기때문이 미칠것같습니다. 지난주 토요일부터 허벅지로 시작해서 지금은 온몸에 징그럽게 두드러기가 나와있네요.. 두드러기 반응 오는 음식 전혀 섭취하지 않고 현시간에도 기름기 없는음식 자극적이지 않은 음식만 섭취하는데 나아질 염려없고 심각해지기만하네요. 병원에서는 아낙필락시스라고 하는데..지금 상태보면 숨도 살짝막히고 걸리는 느낌도 나기 시작했네요. 어떡해야하죠? 큰병원가서 입원이라도 해야하는건가요?? 도와주세요 ㅜㅠ,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"안녕하세요.네이버 지식인으로 피부질환을 상담하고 치료하는 한의학박사 나헌식 원장입니다.글 내용을 읽어보니,지난 주 토요일부터 두드러기증상이 발생하여 질문을 주셨는데,숨도 답답하고 거리는 느낌이들면 아나필락시스라고 진단할 수 있는데,약을 복용할 떄는 증상이 일시적으로 완화되니,병원에 입원할 필요는 없고,입원할 정도의 증상은 아닙니다.두드러기 증상을 겪는 분들이 간혹 아나필락시스 증상을 겪는 분들이 있는데,두드러기 증상이 치료되면,아나필락시스 증상도 같이 치료가 이루어지니,너무 걱정하지 않길 바랍니다.두드러기는,몸에 독소가 있어 나타나는 증상도 아니고,면역기능이 떨어져서 나타나는 증상도 아니며,장이 안좋거나 내적인 건강에 이상이 있어 나타나는 증상도 아니니 염려하지 않으시길 바라겠습니다.두드러기에 대한 자료를 올려드리니 참고하시길 바라겠습니다.대부분 사람들은 두드러기와 같은 피부증상이 발생하면 음식이나 환경적인 원인으로 인하여 발생하는 증상이 아닌가?...라고 고정관념을 갖고 있는데,잘못된 생각이니,어떤 음식이든지 가리지 않고 섭취하시면 됩니다.두드러기증상에는 급성과 만성이 있습니다.급성은 증상이 발생하여 7~10 일 정도면 증상이 자연스럽게 없어지는 경우이고,만성은 증상이 발생한지 6주가 되었는데도 같은 증상이 낫지 않고 반복되면 만성으로 진단을 합니다.두드러기증상이 발생하면 섭취하였던 음식으로 인하여 나타난 것으로 생각을 많이 하시는데,음식은 두드러기증상의 원인이 아니고 일시적인 자극이며,원인은 본인의 피부기능이 떨어져 있기 때문에 발생하는 것입니다.음식으로 인하여 나타나는 경우는,상한음식을 먹어 장염이나 식중독 증상이 수반되어야 합니다.그런 증상이 없다면 음식으로 인하여 나타나는 증상이 아니고,피부의 여러가지 기능중에 체온조절 기능이 떨어져 발생하는 증상으로 생각하셔야 합니다.그리고 두드러기는 몸에 열이 많거나 독이 있어 발생하는 증상도 아니고,스트레스나 면역력이 떨어져 발생하는 증상이 아니며,내적인 건강에...오장육부에  문제가 있어 발생하는 증상도 아닙니다.급성이라면 간단한 피부과 치료로도 증상개선이 빠르게 이루어지지만,혹 본인의 피부기능이 떨어져 발생하는 증상이라면,만성으로 진행되는 경우도 있습니다.두드러기증상은 처음에는 주로 저녁에 많이 나타나고,증상 부위는 전신 여기저기 산발적으로 나타납니다.예를들어 등에 나타났다가 배,그리고 가슴,팔 등등 여러군데에 나타나는 것이 증상의 특징입니다.두드러기는 피부의 독립적인 기능중에 체온조절 기능이 떨어져 나타나는 것으로 저는 원인진단을 합니다.위장기능이 떨어지면 위장병이 생기듯이,피부기능이 떨어지면 피부병이 발생하는 것입니다.체온조절 기능이란?우리 몸에서 유발되는 열이 피부의 땀구멍을 통하여 수분이나 땀의 형태로 배출이 이루어지는 것을 말하는데,체온조절 기능이 떨어지면,열 배출이 원활하게 이루어지지 않게 됩니다.피부내측에 배출되지 못한 열이 누적되면,그 해당 부위의 피부표면에 빨갛게, 일종의 열꽃과 같은 붉은 발진이 보이며,열은 발산작용이 있어 생리기능을 통하여 빠져나갈려고 피부를 자극할 때 따갑거나 가려운 증상을 느끼는 것입니다. 그래서 빨갛게 발진이 나타나거나 가려운 부위를 손으로 만져보면 다른 부위에 비해 열감이 있는 것을 확인할 수 있는데,가려워서 긁다보면 긁는 마찰에 의해 열이 더 많이 발생하기 때문에,피부가 더 부풀어 오르고 번지기도 합니다.그리고 두드러기 증상은 우리가 섭취하는 음식이나 환경적인 문제로 발생하는 증상이 아니어서,어떤 음식이든지 섭취하여도 괜찮고 일상생활에 주의할 점은 없습니다.치료는 피부기능이 개선되어 정상적인 기능을 할 수 있도록 치료하는 것이 중요한데,체질개선 방법으로 치료할 수 있으니,치료에 자신감을 갖기를 바라겠습니다.체질개선으로 몸의 기능을 활성화시키면 몸의 일부위인 피부기능은 정상적인 기능을 회복하게 되고,정상적인 기능이 회복되면 두드러기증상은 자연스럽게 치료가 된다는 말씀을 드리니 참고하세요.우선 집에서 할 수 있는 방법을 알려드리면,실내운동을 하거나 반신욕을 하여 땀을 흠뻑 내도록 하시길 바랍니다.땀이 나지 않을 정도로 적당히 하면 증상이 더 심해질 수 있으니,땀이 흠뻑 나도록 해주세요.운동을 할 때 땀이 흠뻑 나도록 하시고,또한 땀이 흠뻑 나도록 반신욕을 매일 매일 병행한다면,증상개선에도 많은 도움을 받을 수 있으니,참고하세요.한의원에서 두드러기증상을 치료하는 경우에,체질개선의 방법으로 치료한다고 하여도 한의원마다 치료방법이 다르고,치료비용 또한 한의원마다 많은 차이가 있으니,잘 검토하시고 신중하게 선택하시길 바라겠습니다"
어린이유산균추천 부탁해욤,아이가 아토피가 있어서  몸을 자주긁어요..  주변사람들이 아토피에 유산균이좋다고 했는데  어떤제품이 좋을지 잘모르겠어여  검색해보면 광고들이 많아서 실제로 효과본제품  어린이유산균추천해주세요,저도 아토피에 유산균 효과 있다고 하여 우리 아이와 잘 맞는 어린이유산균 찾으려고이거저거 먹여보기도 했는데 결국 아이가 잘 먹는 제품으로 꾸준히 먹으니 효과가 있더라고요.아이가 몇살인지는 모르겠지만 츄어블타입 먹을 수 있다면 우리아이 먹는 제품 먹여보세요. 저는 효과 봤네요.
