제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2021.04.02.|2021.04.06.&section=kin&page=1
외국인 간호조무사,본론부터 말할게요저는 한국에서 10년간 거주한 외국인입니다.간호조무사 자격증을 따고 병원에서 근무를 하려고하는데외국인이다보니 이래저래 복잡하더라구요.출입국사무소에서도 간호조무사 자격증가지고는 병원근무를 할 수 없다고하고..1.외국인은 간호조무사 자격증가지고 병원근무가 안되나요?2.된다고하면 어떤방법이 있습니까?,"해외에서 학교를 다니셨다면 ​고등학교나 대학교 졸업 증명서를 인증하셔서 가져오셔도 됩니다!​​법무 법인이나 공증 사무소,  법률사무소 혹은 행정 사무소로​학력을 증명하는 서류만 내시면 법 절차를 거쳐서 살았던 국가의​대한민국 영사관에 방문하셔서 다시 신청하시면 되겠습니다 !​​​여행사 같은데서도 대리 절차를 가끔 진행한다고 하기 때문에​문의를 하셔도 될 것 같네요!​​​국적에 따라 상이할 수 있습니다 ​​또한 외국인이면 간호조무사 자격증을 가지고 근무하시려면 ​우선 워킹 비자가 필요하시기 때문에 우선 발급받으시는​절차를 거쳐야 합니다​​우선 한국에서 장기취업을 하시려면 E계열의 비자를​발급받으시는 절차를 거치셔야 하실 텐데요​E-7 비자인 특정활동비자를 목표로 하셔야합니다!​​E-7 비자의 발급 조건은 희망하는 직종 분야 석사이상의 학위​혹은 학사 이상 학위와 1년의 경력 혹은 직종 5년 이상의 경력이​필요합니다​​또한 외국인으로 학위를 취득하려면 우선​고등학교를 졸업한 학력이 있으셔야 하며 ​​★ 첫번째로 외국인 등록증이 필요하시고요​​★ 두번째는 출입국 사실증명서를 출입국관리 사무소에     가셔서 신청을 하신 뒤에 발급받으시면 되겠습니다​★ 세번째로는 초등학교에서 중학교와 고등학교까지의     성적증명서를 타국어로 되어있으면 한국어로 번역을     받은 뒤 행정사무소에서 공증을 받으시면 됩니다​★ 네번째로는 고등학교 학력인정 확인서를 받으셔야     하는데 거주지에 본인 국가의 영사관에 가셔서     학력원본에 도장을 받으셔야 합니다​따로 대학교를 졸업하신 경우,​★ 첫번째로 역시 외국인 등록증이 필요하고요 ​★ 두번째로는 출입국 사실증명서로 역시     출입국관리사무소에 가셔서 서류를      신청하시면 되고 출생일로부터 지금까지     일자가 등록된 걸로 신청하시면 되겠습니다​★ 세번째로는 대학교 졸업증명서나 성적증명서를     다른 언어로 되어있는 경우 한글로 번역 한 뒤     공증받으시면 되겠습니다​이렇게 서류를 준비하시면 됩니다​​출입국 업무를 주로 보는 행정사 사무소에 문의를​해보시면 더욱 자세한 정보를 얻으실 수 있습니다​​그러나 학사 학위가 없으실 경우 간호조무사로​근무를 하기 위한 E-7 비자를 발급받을 수 없는데요​​만약 학위를 한국대학에 나오지 않고도 받으실 수​있는 방법에 대해 흥미가 있으시면 아래 링크를​통해 메시지를 남겨주시기 바랍니다ㅎ​​              ★학점은행제 1:1무료 상담방★ #학점은행제 #학력개선 #사회복지사 #보육교사 #국가기술자격증 #산업기사 #대학원 #편입 #학습플래너 #평생교육원 #무료상담 #학위취득 open.kakao.com            ​",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40610&docId=386489741&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=111&search_sort=3&spq=0
제 혈당 비정상인가용,14살 학생이고 혈당 공복에 재니까 104 나왔는데 비정상인가요?,정상입니다.병원마다 기준이 조금씩 다릅니다.어떤 곳은 100 이하가 정상이라고 하고 어떤 곳은 110 이하를 정상이라고 합니다.,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=708&docId=386489527&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=112&search_sort=3&spq=0
"다이어트 한약, 다이어트 한의원에 대해 궁금한 점이 있어요 (안산 고잔동 20대초반/남 다이어트한약)",다이어트 한약 / 다이어트 한의원에 대해 궁금한 점이 있습니다. 설명해주세요. - 다이어트 한약 효과 있는지? - 다이어트 한약이 효과 있다는 근거는 무엇인지? - 다이어트 한약이 효과 있다면 원리는 무엇인지? - 다이어트 한약 부작용은 없는지? - 다이어트 한의원에 가면 어떤 치료를 받는지?,"안녕하세요, 경기도한의사회 닥톡-네이버 지식iN 상담한의사 김현성입니다. 서울 홍익병원 연구팀의 연구 ‘체중감량 성공에 효과적인 체중감량요법 그리고 체중감량 성공과 정신건강 간의 상호관계분석(국민건강영양조사, 제7기 1차년도 자료분석)에 따르면, 체중감량을 시도한 2161명(남성 758명, 여성 1403명)을 대상으로 한 설문조사에서 8가지 체중 감량법(한약, 의사처방약, 식이요법, 건강기능식품, 결식, 단식, 운동, 원푸드다이어트) 중 다이어트 성공률 1위는 한약복용’이라는 조사결과가 있습니다. 그만큼 다이어트 한약으로 효과를 경험한 분들이 많다고도 볼 수 있는데요. 다이어트 한약은 어떤 효과가 있을까요? 다이어트의 기본원리는 식사량(input)을 줄이고, 운동량(output)를 높여 인풋과 아웃풋의 차이만큼 체중이 감량되는 것입니다. 다만 너무 안먹고 운동을 하면 오히려 건강을 해칠 수도 있기 때문에 균형있는 식사와 적절한 대사량확보가 필요합니다. 누구나 알지만 근무, 학업과 병행하는 경우가 많기 때문에 꾸준히 실천하기는 어렵다는 점이 문제인데요. 이 경우 다이어트 한약으로 도움을 받을 수 있습니다. 한약 다이어트는 기초 대사랑의 증가와 더불어 식욕억제에 효과가 있다고 과학적으로 입증되어 있습니다. 식욕억제를 통해 식사량(input)을 줄이고 대사량의 증가로 운동효과(output)를 높여 인풋과 아웃풋의 차이만큼 다이어트 효과를 보는 원리입니다. 포만중추에 쉽게 자극이 오지 않는 사람일수록, 포만중추가 둔감하게 반응해서 적정량 이상 과식하게 되면서 살이 찌기가 쉬운데요. 다이어트 한약은 빠르게 포만감을 느끼게 해주어 과식을 예방하고, 적정량을 먹는 건강한 습관을 형성하도록 돕습니다. 보통 다이어트 약하면 아래의 증상을 걱정하시는데요. 보통 두근거림, 수면불편감, 손떨림, 어지럼증 정도를 많이 호소하십니다. 대사가 항진되는 경우 어느 정도 두근거림 및 수면불편감이 발생할 수 있는데요. 대사량을 높이는 약의 농도를 조절하면 해소되는 증상으로, 내 몸에 맞게 약의 농도를 조절하여 처방을 하는 경우, 불편한 증상 없이 목표한 효과를 얻을 수 있습니다. 또한 다이어트를 열심히 하는 동안 손떨림, 기립성 현훈을 호소하는 분들도 계시는데요. 한약 복용과 관계없이 식사를 과하게 제한(input)한 상태에서 대사량이 증가(output)하여 당이 일시적으로 부족하게 될 때 나타나는 증상으로 적절한 식단 관리를 통해 해소할 수 있습니다. 한의원에서는 자세한 문진을 통해 환자분의 평소 몸상태(체질, 신체증상, 생활습관, 비만 타입 등)을 분석하여 체중증가의 원인을 파악하여 환자분의 특성에 맞게 다이어트 한약을 처방하게 됩니다. 또한 주기적인 상담을 통해 몸 상태를 파악하고 복용량 및 식단조절을 도와드리기 때문에 심리적인 지지를 받으며, 당시의 몸상태에 맞게 처방받아 보다 안전하게 감량하실 수 있습니다. 가까운 한의원에 내원하여 다이어트 상담 받아보시고, 성공적인 감량하시길 바랍니다. 감사합니다.※ 한의사 전문가의 예상 치료비, 할인 가능 여부, 편집된 답변 내용 등 추가 정보가 궁금하시면 아래 출처를 통해 확인할 수 있습니다.",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70307&docId=458895925&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=113&search_sort=3&spq=0
이런 증상은 어디가 아플때 생기나요?,이마와 손이 차갑습니다. 식은땀이 나고 어지러워 주져 앉게 됩니다. 아침이라 빈속인데 답답합니다. 잠시 시간이 지나서 괜찮아 졌어요. 어떤 경우 생기는 증상인지 무얼조심 해야하는지 알고싶습니다.,일단 병원에 다녀오세요 별거 아닌것 같아도다녀오시는게 나을 거에요​,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70301&docId=386487006&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=121&search_sort=3&spq=0
베인상처 치료법,칼에 베였는데 파인상처가되었는데밴드붙이나요 메디폼붙이나요,소독은 하셨나요?어떤 것이든 상관 없으나 베인 상처가 깊으시면 병원에 가셔야합니다만약 그리 깊지 않으시다면 지열하시고 소독하시고 후시딘바르시고 밴드 붙이시고 며칠 지나면상처가 흉터지지 않게 마지막에는 마데카솔을 바르시면 됩니다,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=386486767&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=122&search_sort=3&spq=0
무슨 뱀인가요?,모르고 가다가 밟아서 물렸는데 미국이라 응급실도 없고 ㅠㅠ 죽나요? 아직은 멀쩡해요 물린지 20분 지났어요,방울뱀의 일종이네요한국에 서식하는 종이 아니라 잘 모르겠지만독이 굉장히 센 녀석이에요증상이 나타나지 않은건 드라이바이트라고 해서 물렸지만 독이 주입되진 않은 걸수도 있어요그러길 바라며병원은 무조건 가세요움직임은 최소화하시고 물포함 어떤것도 드시지 마시고상처부위를 심장보다 높이 올리지 마시고 반지같이 몸에 조이는 걸 빼시고 이 외엔 아무 조치하지 마시고 병원으로 가세요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70122&docId=386486526&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=123&search_sort=3&spq=0
무슨 뱀인가요?,모르고 가다가 밟아서 물렸는데 미국이라 응급실도 없고 ㅠㅠ 죽나요? 아직은 멀쩡해요 물린지 20분 지났어요,방울뱀 엄청 치명적인 독사뱀입니다병원 빨리 가보세요
자기소개서 성장과정,저는 옛날부터 엄마가 학교는 꼭 가야된다하셔서 정말가기싫어도 한번도 빠짐없이 성실하게 학창시절을 보냈었거든요. 어느날은 반친구가 가족이랑 여행간다고 학교를 빠지는걸봐서 학기중에 엄마한테 우리도 여행가자한적이 있었는데 당연히 학교는 꼭가야된다하시면서 안된다하셨어요. 그렇다고 놀러를 안다녔던건아니고 방학에 많이 데리고 다녀주셨어요. (그결과 그 쓸때없다던 초딩개근상도 받았었습니다...) 이런경험을 성장과정에 잘 풀어쓸 방법이..하.. 너무 어렵네요 자기소개서ㅜㅜ(병원 자소서 쓰는중..)어떻게 잘풀어쓸방법없을까요 도움이 필요합니다,"스스로 타협하지 않고 나름의 원칙을 세우고 그 원칙과 기본을 지키려고 노력했다는 식이 좋을것 같습니다.가급적 학교를 빼먹지 말고 수업만큼은 꼭 참석해야 한다는것은 나름의 원칙이고그것을 스스로 타협하지 않고 꽤 긴시간 고수하고 노력한 부분은 크게 살 부분입니다. ^^​한번 쭉 작성해 보시고 자소서 제출하시기전에 자소서 첨삭 한번 받아보시길 추천드립니다.아래 링크에서 도움드릴게요! 감사합니다.​<모바일 접속>[취업&대입]자소서,이력서,학업계획서를 고쳐드립니다(첨삭,수정,면접준비 가이드라인)http://www.skillagit.com/mobile/product/view.php?idx=273              재능아지트 재능아지트 www.skillagit.com            <PC 접속>[취업&대입]자소서,이력서,학업계획서를 고쳐드립니다(첨삭,수정,면접준비 가이드라인)http://www.skillagit.com/product/view.php?idx=273&code=1219              [취업&대입]자소서,이력서,학업계획서를 고쳐드립니다(첨삭,수정,면접준비 가이드라인) #### 재능신청 전, 작성하신 자기소개서를 쪽지 메시지로 첨부해서 보내주세요.#### 고칠 필요가 없는 자소서는 첨삭 견적을 드리지 않습니다.#### 기본가인 1만원은 '1문항' www.skillagit.com            ​",https://kin.naver.com/qna/detail.naver?d1id=4&dirId=406&docId=386288189&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=716&search_sort=3&spq=0
자기소개서 성장과정,저는 옛날부터 엄마가 학교는 꼭 가야된다하셔서 정말가기싫어도 한번도 빠짐없이 성실하게 학창시절을 보냈었거든요. 어느날은 반친구가 가족이랑 여행간다고 학교를 빠지는걸봐서 학기중에 엄마한테 우리도 여행가자한적이 있었는데 당연히 학교는 꼭가야된다하시면서 안된다하셨어요. 그렇다고 놀러를 안다녔던건아니고 방학에 많이 데리고 다녀주셨어요. (그결과 그 쓸때없다던 초딩개근상도 받았었습니다...) 이런경험을 성장과정에 잘 풀어쓸 방법이..하.. 너무 어렵네요 자기소개서ㅜㅜ(병원 자소서 쓰는중..)어떻게 잘풀어쓸방법없을까요 도움이 필요합니다,"좋은 질문이십니다. 많은 분들이 궁금해 하시는 부분이기도 합니다.안녕하십니까? 저는 그룹사 인사팀 출신이자 현직 공공기관 면접관입니다.아마도 제 이력은 네이버에서 제 이름을 검색해 보시면 인물 등록에서 확인하실 수 있을 것입니다.질문하신 내용에 대해서 두서 없이 답변 드리오니 참조하시기 바랍니다.​너무 과거 이야기나 일상적인 이야기는 제외하시는 것이 좋습니다.또한 부모님 이야기도 애매합니다.오히려 본인만의 경험 중심으로 장점으로 연결해 주시는 구조를 만드시는 것이 좋습니다.​두서 없이 답변을 드려서 도움이 될까 죄송할 따름입니다.잘 참조해 보시기 바라며, 혹시 도움이 될까 해서 이와 관련된 제 유튜브 클립을 하나 올려 드립니다.아자아자~ 화이링입니다!!!​https://youtu.be/aG4zFVMC0TA                 ​"
자기소개서 성장과정,저는 옛날부터 엄마가 학교는 꼭 가야된다하셔서 정말가기싫어도 한번도 빠짐없이 성실하게 학창시절을 보냈었거든요. 어느날은 반친구가 가족이랑 여행간다고 학교를 빠지는걸봐서 학기중에 엄마한테 우리도 여행가자한적이 있었는데 당연히 학교는 꼭가야된다하시면서 안된다하셨어요. 그렇다고 놀러를 안다녔던건아니고 방학에 많이 데리고 다녀주셨어요. (그결과 그 쓸때없다던 초딩개근상도 받았었습니다...) 이런경험을 성장과정에 잘 풀어쓸 방법이..하.. 너무 어렵네요 자기소개서ㅜㅜ(병원 자소서 쓰는중..)어떻게 잘풀어쓸방법없을까요 도움이 필요합니다,"저도 글쓸때 글쓰고 나서 읽어봐도 나쁘지 않더라고요그래서 둘러보다가 도움 받은 곳있는데 가셔서 한번 정도 님도 도움 받아보세요 저도 글쓰고 나서 첨삭 받았는데 정말로 괜찮았어요님도 한번 정도는 첨삭 받아보세요 나쁘지 않을 거에요 작가님이 직접 운영해서 전화로 바로 바로 소통할수 있는곳이고요 오래되서 신뢰도 있고 퀄리티도 나쁘지 않았던 곳입니다 그리고 여러모로 착하고 큰 부담이 없엇던 곳입니다 가보세요 다른 사람평도 좋고요 퀄리티도 괜찮았던 곳입니다https://cafe.daum.net/writerRHJ              수정첨삭 자기소개서,학업계획서, 무료피드백, 경력기술서,탄원서,1분자소서,면접멘트,직무수행계획서 등. 글에 관한 모든 것을 진심으로 수정첨삭 해드리겠습니다. 수정첨삭이 당신의 인생에 도움이 되었으면 좋겠습니다. cafe.daum.net            ​"
자기소개서 성장과정,저는 옛날부터 엄마가 학교는 꼭 가야된다하셔서 정말가기싫어도 한번도 빠짐없이 성실하게 학창시절을 보냈었거든요. 어느날은 반친구가 가족이랑 여행간다고 학교를 빠지는걸봐서 학기중에 엄마한테 우리도 여행가자한적이 있었는데 당연히 학교는 꼭가야된다하시면서 안된다하셨어요. 그렇다고 놀러를 안다녔던건아니고 방학에 많이 데리고 다녀주셨어요. (그결과 그 쓸때없다던 초딩개근상도 받았었습니다...) 이런경험을 성장과정에 잘 풀어쓸 방법이..하.. 너무 어렵네요 자기소개서ㅜㅜ(병원 자소서 쓰는중..)어떻게 잘풀어쓸방법없을까요 도움이 필요합니다,"안녕하세요, 취업 포털 잡코리아 입니다.​질문자님께서는 자기소개서 작성 중 성장과정 작성방법에 대해 궁금해하고 계시는군요.일반적으로 성장과정은 단순히 자신의 배경만을 설명하는 것이 아닌 지원하신 직무와 기업에 관련해서 서술하시는 것이 좋습니다.이와 관련하여 하단에 잡코리아에서 제공하는 '성장과정' 작성 방법을 몇가지 소개해드리겠습니다. 홈페이지에 방문하셔서 다양한 도움을 얻어보시기 바랍니다. 감사합니다. ​                    >> 자소서 자동완성 기능 '성장과정' 사용하러 가기 (클릭!)​                    >> 기업이 원하는 자소서 성장과정 작성법 (클릭!)​                 ​>> 자소서 성장과정에 꼭 강조해야 할 것은? (클릭!)​추가적으로, 취업 포털 잡코리아는 취업에 대한 다양한 꿀팁을 제공해드리고 있으니다음 링크에서도 확인해 보시기 바랍니다!​<취준생이라면 꼭 확인 해야 하는 취업꿀팁>▶코시국에 불구하고 직원 많이 증가한 기업 1위 '삼성전자' (클릭!)▶대학생, 코로나 끝나면 가고 싶은 곳 1위 '놀이동산' (클릭!)▶대기업 직원 연봉 '평균 8천 322만원' (클릭!)▶구직자 71.6% 면접 보고 후회... 이유는? (클릭!)▶[잡코리아 Pick] 4월 둘째 주 (04.04~0410) 채용 소식! (클릭!)​​잡코리아에서 많은 취업 꿀팁 얻으시고, 꼭 원하시는 결과 있기를 응원합니다.취업성공률 1위, 잡코리아 드림.​"
자기소개서 성장과정,저는 옛날부터 엄마가 학교는 꼭 가야된다하셔서 정말가기싫어도 한번도 빠짐없이 성실하게 학창시절을 보냈었거든요. 어느날은 반친구가 가족이랑 여행간다고 학교를 빠지는걸봐서 학기중에 엄마한테 우리도 여행가자한적이 있었는데 당연히 학교는 꼭가야된다하시면서 안된다하셨어요. 그렇다고 놀러를 안다녔던건아니고 방학에 많이 데리고 다녀주셨어요. (그결과 그 쓸때없다던 초딩개근상도 받았었습니다...) 이런경험을 성장과정에 잘 풀어쓸 방법이..하.. 너무 어렵네요 자기소개서ㅜㅜ(병원 자소서 쓰는중..)어떻게 잘풀어쓸방법없을까요 도움이 필요합니다,"안녕하세용~지식냥이입니당!​자기소개서를 맞게 쓴건지 아닌지도 잘 모르겠고긴장은 되고 그 복잡한 감정 충분히 이해해요.​우선, 자기소개서에는 자신의 경험과 성격의 장단점,성장과정, 지원동기 등등 신경써야 할 부분이 많습니다.그렇기에 보다 더 신중하게 작성해야 해야 하는데요!​자기소개서는 말 그대로 자기 자신을 얼마나 잘 표현했느냐에따라 가치가 다르답니다.​이 부분에 대해 배우고 자기소개서를 준비할 수 있도록어떤 과정을 거치는지 알려드리자면~                    이런 과정을 거쳐서 합격에 가까워질 수 있도록인솔해드리고 있습니다.http://edu3.naeiljob.co.kr/lec/lecture.php?seq=11              서류컨설팅1:1 내일취업코칭  edu3.naeiljob.co.kr            예시나 팁 가지고는 무리일 수 있기 때문에 말씀드렸구요.​자기소개서를 자세하고 높은 퀄리티로 만들고 싶으시다면문의주세요.https://open.kakao.com/o/sehpOxlc              취업/이직 진로컨설팅(내일코칭학원) #취업#첨삭#이직#이력서#자소서#자기소개서#포트폴리오#학점#학력#면접#대기업#모의면접#공기업#중견기업#면접유형#서류전형#면접전형#자격증#면접강의 open.kakao.com            ​"
문구좀 알려주세요,생활용품 판매를 시작했는데 독특하고 상대방이 기억할수있는 명함을 제작하고 싶어요어떤 문구가 좋을까요?,니생활 내생활,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50606&docId=386286769&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=717&search_sort=3&spq=0
문구좀 알려주세요,생활용품 판매를 시작했는데 독특하고 상대방이 기억할수있는 명함을 제작하고 싶어요어떤 문구가 좋을까요?,"안녕하세요.축척 된 노하우 • 디자인의 차별화!최적의 서비스로 명함을 제작하는 베리페이퍼 입니다.​명함 문구를 어떻게 제작해야 할 지 고민이 되실 텐데요.저희 베리페이퍼는 병원, 네일샵, 카페, 변호사, 학원, 회사 등다양한 직종의 명함을 전문으로 제작해왔으며명함 전문 디자인팀이 상주하고 있어고객과의 지속적인 피드백을 통해 수월한 작업이 가능합니다.                                            또한, 디자인 제안 및 수정 등향후 서비스까지 체계적으로 관리해드리며,현재, 홈페이지에서 다양한 할인 이벤트를 진행하고 있는데요.2인 이상 10%, 4인 이상 20%, 10인 이상 구매 시 30% 할인!각종 혜택이 준비되어 있으니, 홈페이지 • 카톡 등으로 편하게 문의주시기 바랍니다.​고객과 전문 디자이너가 1:1 매칭되어,빠른 피드백과 수정이 가능한명함 제작 전문 기업 베리페이퍼를 기억해주세요!​- 전화번호 : 1544-4550- 사이트 : www.verypaper.co.kr- 카카오톡 상담 : http://pf.kakao.com/_QljyT/chat- 네이버 톡톡 상담 : https://talk.naver.com/ct/wcs236                                                                   - 전화번호 : 1544-4550- 사이트 : www.verypaper.co.kr- 카카오톡 상담 : http://pf.kakao.com/_QljyT/chat- 네이버 톡톡 상담 : https://talk.naver.com/ct/wcs236"
고등학생 허리가 너무 아파요,저는 이제 막 고등학생이 되었는데요아무래도 하루에 앉아있는 시간이 엄청 길다보니까 처음에 허리 아팠을땐 그냥 잠시 아프다 말겠지 했는데 2주가 지난 지금은 의자에 앉았다 일어날때도 아프고 허리를 잠시 움직일때도 아프고 누웠다가 일어날때도 아파요ㅠㅠ 다리는 안저려서 디스크는 아닌거 같은데 병원 가볼까요ㅠ....?? 한의원 가서 침맞을까요...??ㅠㅠ 내공 많이 걸어요!,안녕하세요천기 기공 통증 크리닉 원장입니다척추[경추목.흉추 등.요추 허리]에는 24개의 뼈와 뼈와 뼈사이에 완충역활을하고있는 24개의 디스크로 구성되어있는데 척추로인한 질환은 총127가지에 달하는중요한 부위며 허리디스크로인한 질환은 27가지에 달하며 허리통증은 요추4번 디스크에 해당되며 다리에는 요추2~3번은 대퇴부와 요추4~5번은 하퇴부와 발과 각각 연결되어있기때문에 질문자님께서 겪고있는 요통은 요추4번디스크 신경압박 장애 현상이라하겠으며 아직은 디스크 초기 증상이라서 엑스레이상 디스크 판독이 불가능할 가능성이 농후하므로 다음과같이 치료운동을 실시하시기 바랍니다 따라서 이와같은 허리디스크를 치료하기위해서는 다음과같이 치료운동을 실시하시기 바랍니다1항상 허리와 가슴을펴고 고개를 들기 2모니터.핸드폰.티비.책.높이를 눈높이보다 약 15cm 정도 높게설치하기3취침시에는 얕은베개를 베고 똑바로 눕기4쇼파에 누워서 허공으로 자전거타기5턱걸이하기 6꺼꾸리에서 조석으로 각각15분씩 꺼꾸로 매달리기 ​​,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70106&docId=386286088&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin&rank=718&search_sort=3&spq=0
고등학생 허리가 너무 아파요,저는 이제 막 고등학생이 되었는데요아무래도 하루에 앉아있는 시간이 엄청 길다보니까 처음에 허리 아팠을땐 그냥 잠시 아프다 말겠지 했는데 2주가 지난 지금은 의자에 앉았다 일어날때도 아프고 허리를 잠시 움직일때도 아프고 누웠다가 일어날때도 아파요ㅠㅠ 다리는 안저려서 디스크는 아닌거 같은데 병원 가볼까요ㅠ....?? 한의원 가서 침맞을까요...??ㅠㅠ 내공 많이 걸어요!,"안녕하세요?맞춤형 의자 전문 @ 피팅체어입니다.​허리만의 통증은 염좌일 때 많이 나타난다고 합니다. 병원에서 물리치료나 한의원에서 침치료를 받으시면 금방 회복이 되실거에요. 이러한 허리의 문제는 앉을 때의 습관과 자세 그리고, 의자가 많이 좌우하기도 합니다. 관련글은 아래 링크를 남겨드리오니 읽어 보시면 도움이 되실 거에요.​통증과 치료에 대해서는 전문가님들에게 질문을 해보세요. 이 곳 지식인에는 병원의 의사님들과 한의원의 원장님들이 직접 1:1 답변을 달아드린답니다. https://kin.naver.com/people/expert/index.nhn?type=DOCTOR​의자에 앉을 때 허리와 목에 좋은 자세에 관한 글하나 남겨드립니다. 도움이 되시길 바라요.​허리에 좋은 자세와 나쁜 자세https://cafe.naver.com/herripia/1125거북목 일자목에 좋은 자세와 습관https://cafe.naver.com/herripia/1442​빠른 쾌유를 기원합니다. 편안한 의자가 필요할 땐 저희 피팅체어를 찾아주세요. 허리편한 의자 @ 피팅체어였습니다.www.fittingchair.com"
고등학생 허리가 너무 아파요,저는 이제 막 고등학생이 되었는데요아무래도 하루에 앉아있는 시간이 엄청 길다보니까 처음에 허리 아팠을땐 그냥 잠시 아프다 말겠지 했는데 2주가 지난 지금은 의자에 앉았다 일어날때도 아프고 허리를 잠시 움직일때도 아프고 누웠다가 일어날때도 아파요ㅠㅠ 다리는 안저려서 디스크는 아닌거 같은데 병원 가볼까요ㅠ....?? 한의원 가서 침맞을까요...??ㅠㅠ 내공 많이 걸어요!,안녕하세요.제가 병원에서 근무할 때 이런 문제로 학생들이 많이 내원했는데요.​장시간 앉아있으면 복부 근육과 엉덩이 근육을 사용할 시간이 줄어들면서 약해지게 됩니다. 그렇게 되면 허리에 있는 근육을 많이 사용하게 되면서 허리 통증이 발생합니다. ​증세가 심하다면 병원에 가서 통증을 감소시킬 수 있는 치료가 필요하고 내 생활 습관에서 허리 통증을 안 생길 정도로 근육을 강하게 만들어주는 운동을 해야 합니다. 이런 운동은 트레이닝 센터나 필라테스 센터의 전문가의.도움을 받아 지금 상태에 맞는 운동을 시행해야 운동으로 허리가 더 아플 일이 안 생깁니다.
고등학생 허리가 너무 아파요,저는 이제 막 고등학생이 되었는데요아무래도 하루에 앉아있는 시간이 엄청 길다보니까 처음에 허리 아팠을땐 그냥 잠시 아프다 말겠지 했는데 2주가 지난 지금은 의자에 앉았다 일어날때도 아프고 허리를 잠시 움직일때도 아프고 누웠다가 일어날때도 아파요ㅠㅠ 다리는 안저려서 디스크는 아닌거 같은데 병원 가볼까요ㅠ....?? 한의원 가서 침맞을까요...??ㅠㅠ 내공 많이 걸어요!,"평상시 관리를 잘 해야 합니다.​허리는바른 자세로 생활하고바른 자세로 운동하여 허리 근력을 길러서평생 관리를 해야 하는 것이 허리입니다.​허리는한번 아프면자주 아프기 시작합니다.​세수 하다가잠을 자다가무거운 것을 들다가조금만 방심하면 허리는 고장납니다.​가볍게 지날 갈 때도 있지만어떤 때는정말 기어서 화장실 갈 정도로 지독히 아프기도 합니다.​이럴 때는 당장 수술 하라는 말을 듣고 싶지만수술 한 분들이 예후가 안좋아서대부분 웬만하면 하지 말라고 합니다.​병원에 검사 하여도아무런 문제가 없다고 하거나치료 받아도 계속 아프면다른 방법도 찾아 보세요.​양자파동에너지칩 사용해 보세요.​운동과 스트레칭을 하고 싶은데조금만 움직여도 몰려오는 통증 입니다.​너무 아픈 통증으로움직이는 순간 순간이 고통이라면아무것도 할 수 없습니다.​만성 통증으로 고생 하시는 분통증이 여기저기로 옮겨 다니는 분찌릿 찌릿 저리는 분근육이 경직되어 뒤틀리는 분​양자파동에너지칩을팔. 발바닥, 관절 졻은 부위는 2.5센치어깨, 등, 허리 넓은 부위는 6센치 사용해 보세요.​양자파동에너지칩 6센치를아픈 부위에 2~6개를 붙여 보세요.​대부분 운동으로 허리 근력을 강화하고 싶으나바른 자세를 유지하면 통증이 몰려와서 힘들고통증이 시작하면 허리 근육이 뒤틀려서허리가 틀어져서 더 힘들게 합니다.​양자파동에너지칩은굳은 근육을 부드럽게 풀어 주면서통증 감소에 도움을 주어스트레칭과 운동을 할 수 있게 해 줍니다.​바른 자세로 근력을 강화 시켜야 합니다.원기 회복과 피로 회복 되어상쾌한 아침을 맞이 합니다.​"
