제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2019.11.02.|2019.11.06.&section=kin&page=1
생인발? 내성발톱? 뻔떡하면 수술?,제가 얼마전 발톱 깎았는데 좀 짧게 깎아서 지금은 만지면 약간 통증밖엔 없거든요.. 근데 이거 보니까 막 수술해야한다 그러고 첨 알았어요. 이거 자연적으로 낫는방법없나요? 수술보니 마취가 그렇게 아프다고 해서 안할려고하는데 제 상태는 어느정도인가요? 심하진 않은거 같은데 의사선생님들만 답변 부탁드려요.,"내성발톱은 꾸준히 관리를 해줘야하는데,요즘에는 내성발톱 전문 네일샵도 많아요!병원보다는 저는 네일샵을 추천드릴께요​"
"최근들어 공황장애(두근거림,두려움,손발 저림,답답함 등) 증상이 자꾸 생기는데 이런건 어느 병원을 가야하나요? 최근에 스트레스도 많이 받고 하면서 더 그런것 같아요그리고 최근에 감기약 하고 음식 먹고 나서 심장이 심하게 두근거린뒤로 음식이나 약같은것도 잘 못먹겠어요 먹을때마다 또 긴장되고 두근 거림이 약하게 생겨요부산 북구쪽으로 병원좀 알려주세요","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","안녕하세요. 헬로마인드케어 심리상담사입니다.​요즘 들어 스트레스를 많이 받으셨던 것 같아요. 스트레스로 인한 두근거림, 두려움, 답답함 등이 느껴져 걱정이 되기도 하셨겠어요. 그렇다면 정신과 병원에 가셔서 진료를 받아보시는 게 좋을 거 같습니다. ​그리고 어떤 일로 인해 스트레스와 불안감을 느끼고 계신 것처럼 보여요. 보다 근본적으로 마음의 힘을 키우고 불안감을 줄일 수 있는 방법을 찾을 수 있도록 심리상담을 병행해 보시기를 권해 드립니다. ​답글이 도움이 되었기를 바랍니다. 혹시 심리상담이 더 필요하시다면, 헬로마인드케어 앱에서 기다리고 있을테니 언제든지 자유롭게 이용해주세요.​헬로마인드케어 상담사 드림"
"최근들어 공황장애(두근거림,두려움,손발 저림,답답함 등) 증상이 자꾸 생기는데 이런건 어느 병원을 가야하나요? 최근에 스트레스도 많이 받고 하면서 더 그런것 같아요그리고 최근에 감기약 하고 음식 먹고 나서 심장이 심하게 두근거린뒤로 음식이나 약같은것도 잘 못먹겠어요 먹을때마다 또 긴장되고 두근 거림이 약하게 생겨요부산 북구쪽으로 병원좀 알려주세요","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","공황장애에 좋은 블로그 포스팅 있어 소개해 드립니다.https://blog.naver.com/cnaming/221659763688          [서울상담, 서울최면 / 참마음심리상담센터] 공황장애 극복 안녕하세요. 참마음심리상담센터입니다.오늘은 공황장애의 원인과 극복방법에 대해 알려드리겠습니다.​공... blog.naver.com           ​​"
"최근들어 공황장애(두근거림,두려움,손발 저림,답답함 등) 증상이 자꾸 생기는데 이런건 어느 병원을 가야하나요? 최근에 스트레스도 많이 받고 하면서 더 그런것 같아요그리고 최근에 감기약 하고 음식 먹고 나서 심장이 심하게 두근거린뒤로 음식이나 약같은것도 잘 못먹겠어요 먹을때마다 또 긴장되고 두근 거림이 약하게 생겨요부산 북구쪽으로 병원좀 알려주세요","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","​​​네이버 정책상 병원 및  업체를 추천하는것은 위배행위로 간주되어 패널티를 받기을수 있기에 마음병을 어떻게 근본해결 하는지에 대한 답변으로 대체할께요​최근엔 거리가 멀거나 사람이 두려운 분들의 경우 저희처럼 내원 뿐 아니라 온라인으로 영상상담까지 하는 상담센터도 많이 있으니 계신곳 주변의 믿음이 가는곳에서 바른 지도를 받으시면 되요​일반적인 공황치료의 경우 대부분이 약물치료,인지치료에요긍정적으로 작용하는 부분도 있지만 약물치료와 인지치료 두가지를 다한다 해도 근본적 해결이 쉽지 않아요.​불안을 부르는 무의식을 내버려 둔채 불안만 낮추는 진통제 역활만을 하는게 약물이죠인지치료 역시 단편적인 노출만으로만 불안을 다스리는데 한계가 나타날수밖에 없는구조에요. 그러다 보니 시간이 지남에 따라 괜찮아져서 잊고 살아가다가 시간이지나면 조금씩 또 나타나는 재발을 환우들이 끊임없이 경험하지요.​​비정상 호르몬이나 ,잘못된 신경전달 물질 이상을 유도하는것은 부정적으로 생각하는 사고패턴과 생활습관 때문입니다, 때문에 사고패턴과 생활습관을 변화시킬수 있는 포괄적인지요법을 통해 근본적으로 마음병을 해결해 나갈수가 있어요. 생활습관과 사고습관이 건강치 못하다 보니 두려워지고 신경전달물질의 이상이 생기는거에요. 순서를 바로 알아야 근본해결이 되는거에요.​​공황장애의 근본해결을 답변하겠습니다.공황이 온다고 하더라고도 , 증상이 나타난다 하더라도 더이상 두려워 하지 않는 마음이내면에 차차 굳건해지면 이후에 공황으로 부터 자유로워질수 있습니다.​그 다음 단계의 완치라는 개념이 존재하지만 일단  환자입장에서의 완치의 개념입니다.두려워 하는 그 마음이 공황의 유발요인중 하나이기때문이지요.​​세밀하고 정확한 답변을 인사말 아랫 부분에 따로 올릴것이며 마음병의 근본적인 치유의 방법을 설명할께요. 마음병을 해결하기 위해서는 약간의 의지와 노력이면 충분합니다, 때문에 율리니심리연구소는 의지가 없는분은 심리치유하지 않아요. ​""""내담자 스스로가 인생을 변화시키려는 적극적 의지와 실천 자세 그리고 겸손과 겸허가 있을 때에 한하여 본연구소의 심리치유 시스템이 제공되요. ​따라서 본연구소에서 심리치유를 받기 위해서는 연구소에서 준비한 일련의 심사와 과제를 통과하셔야만 상담이 허락되는거에요​본원의 포괄적인지요법의 공부와 실천을 게을리 하는분들 때문에, 의지있고 조금의 지도만으로 해결될 수 있는 절실한 분들의 순서까지 소모 시키는 경우가 있기에 심사와 과제가 주어지는 것이며 그런분들은 애초에 상담받지 않으니 전화를 자제해 주시길 당부드릴께요.​올리신 글들 잘 보았습니다. 힘든 부분이 그대로 느껴지는군요. 저는 강박증 ,공황장애, 불안장애 마음병 클리닉의 심리연구부에서 분석업무를 담당하는 연구원입니다.​​질문자분의 질문에 답변하기 전에 먼저 말씀드릴것이 있습니다.오해할 수 있는것이기에미리 말씀 드리겠습니다. 제가 이렇게 답변을 달아 드리는것은 서로 나누고 공생하고 돕는것이 사람다운 자세라 믿으며 많은 세월을 살아왔습니다. ​​도우며 공생하는 이유는 아주 오래전 저역시 커다란 마음병이 있었기 때문입니다. 강박증외상후장애, 공황장애, 불안장애, 이인증, 사회공포증, 분노조절장애, 조울증 ,불면증해리장애 등 이곳에서 말하기 조차 거북스런 다양한 정신 질환으로 고통을 겪었습니다. 해결하기 위해 심리학과의 석학과 임상심리 자격도 취득 했지만 늘 고통스러웠고 환자는물론이고 자기 자신 조차도 해결치 못하는 부끄러움이 항상 있었지요. 심리학을 공부하는 사람들중에 저와 같은 이유로 심리학을 하는 분들이 엄청나게 많다는 사실도 이 시기에 알게 되었지요.​​스스로 창피해서 새로 만나는 사람들과 대화를 할때 직업과 학위 이야기가 나오면 입을 닫으며 살아 왔었고 오랜 시간 동안 답을 찾기 위해 매번 새로운 선지식을 익히면서 절망과 좌절을 수없이 거듭하던 중 아래에 설명드리는 포괄적 인지요법의 배움을 통해 근본 해결은 물론 여여한 인생을 살고 있습니다. 더 나아가 상위 학위취득과 오랜 수련과정을 통하여 포괄적 인지요법의 가르침을 주신 클리닉에 근무하며 과거의 저만큼 힘드신 분들에게 참된 도움을 드리기 위해 이십여년 가까이 현장에서 노력하고 있습니다.   ​마음병이 얼마나 힘든것인줄 알기에  제가 현장에서 임상을 바탕으로 체득된 경험과 지식으로 마음병으로 힘겨운 분들에게 조금이나마 치유에 도움을 드리려는 뜻에서  따로 시간을내어 최선의 조언을 해드리고 있습니다.아시다시피 이러한 마음병의 경우  가족사 ,개인사 , 습관 , 성격 , 에 대해 많은 언급을 해야 하기에  듣기에 따라 거슬리는 내용이 분명히 있습니다​​표현의 한계가 있는 부족한 저의 글솜씨 때문에 그러한것입니다. 너그럽게  양해를  부탁  드리고  질문하신 분의  문제가  진정으로  해결되길  원하는 진심의 뜻에서 그러한 것임을 잊지말아 주시기 바랍니다.오랜 시간 동안 힘들었지요. 이렇게 도움을 요청하여 어떻게든  정상적인 인생으로 살아 가려는 모습이 타인에게 모범이 될것입니다         ​우울은 우울, 강박은 강박 ,공황은 공황,불안장애는 불안장애-해리장애에 맞게 모두 다 다르게 기술할 것이며  세세한 증상에 맞추어 붙여넣어야 할 부분에서는 스스로 치유할수 있는 공통된 자가치유 방법의 중복된 글들은 붙여넣을것 입니다. 그리하여 마음병의 원인을 인지시키고 근본적인 치유의 방법과 더 나아가 사후의 관리방법까지 추가하여 논하도록 하겠습니다.  정신적 문제를 풀어내는것이 복잡하고 쉽지 않은 일이기에 글이 길 수 밖에 없습니다. 다시 한번 내용을 보도록 하겠습니다.​​​​​​질문최근들어 공황장애(두근거림,두려움,손발 저림,답답함 등) 증상이 자꾸 생기는데 이런건 어느 병원을 가야하나요? 최근에 스트레스도 많이 받고 하면서 더 그런것 같아요그리고 최근에 감기약 하고 음식 먹고 나서 심장이 심하게 두근거린뒤로 음식이나 약같은것도 잘 못먹겠어요 먹을때마다 또 긴장되고 두근 거림이 약하게 생겨요부산 북구쪽으로 병원좀 알려주세요 태그 디렉터리Ξ 가정의학과​​​​​​공황장애의 근본해결을 답변하겠습니다.공황이 온다고 하더라고도 , 증상이 나타난다 하더라도 더이상 두려워 하지 않는 마음이내면에 차차 굳건해지면 이후에 공황으로 부터 자유로워질수 있습니다.그 다음 단계의 완치라는 개념이 존재하지만 일단  환자입장에서의 완치의 개념입니다.두려워 하는 그 마음이 공황의 유발요인중 하나이기때문이지요.이치를 모르기에 두려운 것이고 알게 된다면 자유로워질수 있습니다.​​평소 어느하나에 내뜻대로 되어야만 한다라는것이 강하면 강할수록 공황은 그틈을 타고 죽음의 그림자처럼 발현됩니다.경험해 봤겠지만 잘돌아보면 내뜻대로 되어야만 한다라는것이 어느 한계를'만나기전 자잘한 증상으로 나오다 임계점을 넘으면 공황이 폭발하여 나타납니다공황의 재발은 매우 흔하지요.원하는대로 안된다해도 -그러함을 받아들이는 마음을 내도록 아랫글을공부하고 수련해야 공황의 완전한 해결이 가능합니다. ​​다음은 갑자기 공황 증상이 나타날때 대처방법입니다. ​증상이 급작스럽게 일어나기에 많이 힘드실거에요. 증상이 나타날때 필요한것이 증상을일으킨 사념을 돌아보고 그후 그자체를 내려놓는 특화된  명상이 필요합니다.더불어서 증상을 일으킨 사념이 일어날때 그것을 현재의 상황에서는 조절할 수 없기에몸을 움직이는 운동이 필요하지요. 그중에 조깅은 반드시 필요합니다.마음병을 치유하기 위해서 위의 요건들은 늘 일상에서 두번째 습관으로 자리잡혀야 합니다.그렇다면 가장 중요한 첫번째 습관은 무었일까요? 아래에 설명드리겠습니다.​​일단 약에 대해 먼저 알아볼께요.양약이든 한약이든 그것을 먹으면 일단 증상은 잠시 눌러줍니다. 그러나 증상을 잠시는눌러줄 뿐 시간이 지나면 증상은 다시 생깁니다.​​                ​​​하지만 언젠가는 약을 끊을 텐데 그약에 너무 의존적이 되어서는 안되겠죠.때문에 약을 먹으면서 공황이 나타난 근본 원인을 정확히 파악하고 지혜의 영역을 넓혀나가야  불안으로 잘못 해석하는 자신의 인지적 오류를 바르게 해석함으로써 근본적으로공황을 정복해 나갈수 있습니다​​​마음에 병이 있을때 정신과에서는 뇌신경전달물질 시스템의 이상으로 추정하여약물투여와 인지치료요법을 사용하고 있습니다.그런데 말이죠.마음병이 있을때  세로토닌이 왜 재흡수가 되는지 ? 그리고 세로토닌이 왜 부족한지에 대하여먼저 생각해봐야 되지 않을까요?저는 잠시 고민만 들어드리려는 것이 아니라 마음병을 해결을 해드리기 위하여 근본 질문을드리고자 합니다.​​1. 어떤 이유가 있으니까 세로토닌 분비에 문제가 생기지 않았겠어요 ?​2. 흔히 정신과에서는 인지행동치료를 통하여 잘못 학습된 인지를 교정하여  인식을 긍정적으로 생각하게 가르침으로서 이 후 약물도 끊고 바른 생각을 습관화 하도록 권고하지요.이말은 부정적으로 생각하는것이 세로토닌 분비에 부정적 영향이 있음을 반증하는 것이죠.병원에 가면 진료중 전문가들이 늘 하는 말이 있습니다.""스트레스 받지마세요""라고 하지요.스트레스가 마음병을 악화시키기 때문에 늘 이런 당부를 하는 겄이죠.보편적으로 인지치료를 통해 증상에 한정하여 잘못 학습된 인지만을 교정하지요.또한 자신에게 다가온 상황을 스트레스라고 생각하는 잘못 학습된 인지 역시도 인지치료로교정해야 하는것이지요.​​자 그렇다면 1, 2  를 조합해 보면 뭔가 떠오르지 않나요?자신의 마음대로 되지 않는일 들을( 실패,좌절,불합격,사고,이혼,병,헤어짐등 )만나게 되면  감정적으로 ( 고통,미움,분노,시기,질투,외로움,불안등 ) 힘들어집니다.이러한 감정이 적절함을 유지하면 좋겠지만 마음의 병으로 나타났다는건 그 적절함이 이미 도를 넘어서 버린거에요.도를 넘어서기 전에 엄청난 심리적 압박과 고통이 이어지고 그것이 누적 되다보면 뇌신경전달 물질과 그 수용체 시스템에 교란이 생기게 되지요. 그럴때 보편적으로 SSRI 계열의 항우울제 약물을 투약하여 세로토닌이 신경으로 재흡수되는것을  방지하여  신경전달물질의 기능을  정상화 시켜주어 증상이 나타나는것을 조절해주는 역활을 합니다. 삶이 내마음대로 흘러가면 좋겠지만 그게 어디 맘대로 되나요 ?내마음대로 흘러 가지 못했을때는 자연스레 감정이 힘들어져서 또 약물을 쓰지요.이러한 패턴이 평생을 이어가는 경우를 흔하게 목격하지요.마음이 편하지가 않으니까 증상과 감정이 폭발하여 힘들어지는거에요.​​그렇다면 어떻게 해야 되는지 감이 오시나요?자신의 마음 , 감정이 편안해지도록 광범위한 인지치료훈련인 마음공부가 되어야 하는거죠.​​자신에게 일어나는 일들을 여여히 받아들이고 ""어떤 일들이 일어 나더라도 그럴수도있다"" 라는 현실인정의 자세를 차차 체득하게 되면  마음이 천천히 편안해질수가 있는거에요.세상에서 일어나는 일들에 대한 이치를 알고 세상과 타인에 이해를 넓혀가면 넓혀 갈수록편안해지지요.​​그럼으로써 당연히 담대해지고 자신과 타인의 허물에 대하여 인정과 포용의 그릇을키워나가면 세상에서 일어나는 일들을 당연하게 받아들임으로서 여여함을 유지해 나가는것이 포괄적인 인지행동요법이며 이것으로 마음의병을 정복할수 있는거에요.포괄적 인지행동요법은 동양학문과 심리학을 바탕으로 저희 클리닉에서 개발한 심리요법입니다.일반 심리학에서의 인지치료도 좋지만 한계가 있다보니 재발이 없지 않았었지요.​​그 이유는 마음병의 증상이 나타나는게 수천 수만가지의 경우에서 나타나는데 그 뿌리인현실부정의 생각은 깊게 다루지 않고 나타난 증상인 잎파리만 제거하는것에 촛점을 맞추다보니 그 증상을 잡으면 다른 곳에서 또다른 증상으로 변형되어 끝없이 나타나는 것이죠.마음병으로 경험있는 분들이 절망하는 부분이 이런것이죠.마음병의 뿌리인 현실부정하는 마음을 현실인정으로 바꾸게 되면 근본 치유가 되는거죠.​​대부분의 환우분들은 약물이나 시술,특정물질로서 단기간에 마음병이 완치가 되는것으로 잘못 아십니다. 마음병에서 이런것들은 증상만을 다스릴뿐이지 근본적인 완치는 거의 불가능합니다.​설명드리는 포괄적 인지행동요법을 포함한 다양한 치유법의 배움과 실천이 습관과 어우러짐으로서 내면이 점점 더 굳세어지고 강인해질때 근본적인 병의 완결이 이제서야 시작이됩니다. 아래 카페에는 이러한 지도대로 치유를 개시하거나,치유를 해나가며,마음병을 완결해가시는 분들이 많습니다. 이렇게 스스로 하는 자가치료의 바른길을 실천으로 이어져야 합니다.  그렇지 않으면 절대로 마음병에서 벗어날 수 있는 방법은 없습니다.​​​​동양에서는 이 마음병의 원인을 사람의 생각을  원인으로 두고 치료해 왔습니다.동양학문과 동양의학은 내마음대로 되는 세상은  받아들이지만  내 마음 대로 되지 않는 세상은받아들이지 못하는 자신의  치우친  마음을 병의 원인으로 두고서  다스립니다. 이미 일어난상황과 생각에 대하여 끝없이 현실부정을 함으로서 공황증상이 나타나고  그럼으로써강박사고-행동을 더욱 강화를 시키는 결과를 불러오게 되지요.​​​​​ ​​​절대로 나에게 그러한 상황이 일어나선 안된다며 일어난 현실을 부정하니 감정적으로  증폭되고증상이 나타나지요. 정서적인 병이 없는  다른 사람들은 이러할때 아무렇지도 않잖아요.그런데 왜 나만 공황과 강박이 나타날까요 ?​​​왜냐하면  그 현실이 일어나선 안된다.""""""절대  받아들 이지 않겠다  절대로""라고 하는 강한 믿음이 있기 때문이죠.​​​​​​​때문에 가장 먼저 다루어야 할것이 무었일까요?바로 자신의 생각이죠.​​​특정 조건과   상황을 만났을때 그 상황은 거의 다 나쁜것이라고  느끼죠.무의식적으로 말이죠. 해석의 오류로  인하여  뒤이어 증상과 감정이 회오리처럼 다가와  벼랑 끝으로 몰리는 공포를 경험합니다.증상만을 완화하는 약만 먹는다 보니 생각은 돌아보지 않게 되지요. ​생각은 수정할 생각을 하지 않고 또 증상 생기면 약먹고 하는것만을 반복하는데  어찌 재발이되지 않겠어요.해결이 가능할까요?현실부정의  생각을 유연하고 합리적으로 바꾸어 주는 약은 없습니다.​​​​​공황이 오래되고 깊다고 한다면  깊은 치료가 필요하겠지만  공황이 시작된지도 얼마 안되고 병이 깊지 않아서 스스로 치료하고자  한다면  아래대로 해보세요. 공황증상이 나타날 때 자기 자신에게 물어보세요.​​​​​-지금 내가 부정하는 현실은 무었인가?-내가 부정하는 과거와 미래는 무었인가?-그것을 왜 허용하지 못하고 계속 부정할까?  라고 자기 자신에게 물어보세요. ​다음으로  할것은  “나의 생각이  말도 안 되는 ”비현실이구나“하며  자각하는거에요.마음병이 깊지 않다면 이치에 안 맞는 비현실적인 생각을 하는 자신을 거듭 알아차림으로써병에서 천천히 나올 수 있습니다.하지만  병이 조금 더 깊다면 이치에 맞지 않음도 알고 비현실적인 생각와 행동임을  알아차렸는데도 하는 경우가 대다수에요. 그래서 다음에  할 일이 참으로 중요합니다.불안하지 않는 상황을 불안으로 해석하는스스로의 인지적 오류와 완벽은 받아들이면서 완벽하지 못한 것 은  받아들이지 못하는자신의 마음을 마음공부를 통하여 변화시켜 나가야  합니다. ​​​다음과 같이 마음먹어야 합니다. “내 생각이 비현실적인 강박사고임을 알아차리면서도 또“ 내가 그러고 있구나.나의 지혜가 많이 좁구나“ 하며 반성하고 스스로가 지혜를 넓히기  위한 마음공부를 또해나가야 겠구나 하는 마음을 가짐으로써 공황을 천천히 해결해 나갈 수 있습니다​​​​​여기까지의 설명들을 알고는 있는데 납득이 안되고 실행이 안된다 라는것은 자신 스스로가정확히 그것을 모르고 있는거에요.제대로 안다면 자신을 파괴시키는 습관을 계속 유지할 수 있을까요?이것을 실천 안하는것이 맞는것으로 스스로 믿고 있는 것이기에 자신의 습관을 항상 깨어서알아 차려야 합니다.​​물론 마음의 병이 깊다면 이것만 가지고는 안됩니다. 먼저 혼자의 힘으로 극복하도록 노력해 보시고 그럼에도 힘들다면 위 내용을 포함한 지도자의 집중적인 지도가 필수겠지요. ​최근엔 거리가 멀거나 사람이 두려운 분들의 경우 저희처럼 내원 뿐 아니라 온라인으로 영상상담까지 하는 상담소도 많이 있으니 계신곳 주변의 믿음이 가는 곳에서 바른 지도를 받으시면 됩니다. ​하지만 병이 발현된지 오래되지 않고 심하지 않다면 위의 내용을 통해 삶의 지혜를넓혀가다 보면 서서히 정복해 나갈수 있어요. ​​위의  방법으로 인내를 가지고 조금씩 조금씩 차차 자신의 삶을 인정, 포용 그리고 반성경계와 실천이 요구됩니다.시련을 회피하지 않고 정면으로 굳건히 맞이하는  이 길이 가장 빠릅니다​​삶의 이치를 조금씩 깨쳐가며 당연히 존재하는 삶의 음지를 당연하게 받아들일 수 있는길을 단계별로 차근차근 거쳐야만 성숙이 되는거에요.​​​그런후라야 어떤 삶의 파도를 만나더라도 능히 이겨낼수  있기 때문이에요.​​더불어  마음의 병을 정복하기 위한 지식과  대응법을 자신의 것으로 완전 체득함으로써자유로워질 수 있겠죠.자신이 믿음이 가는 마음병 카페를 통하여 참된 지식을 교류하여 지혜의 폭을 확장 시켜야합니다.  마음병을 자신만의 힘으로 감당하기에는 외롭고 처절하고 절벽같은 시간 이겠지만마음병을 경험하는 분들과 서로 경험을 나누고 힘이 되어 준다면 훨씬 더 수월한 아름다운동행이 될것입니다.​​​​​미약하나마 도움 드리기 위해 글을 올리긴 했지만 이 작은 지면에  올릴수 있는건 매우제한적이어서 더 알찬 지식과 정보는 아래 링크되는 네임텍에 올려두었으니 잘 활용하세요.​​​이순간 당장은 내가 힘들어서 손을 내밀었지만 이러한 마음공부의 과정을 통하여  내가중심이 잡히고 강해졌을때 힘겨운 사람이 내민 손을 따뜻하게 잡아서 이끌어주는 선순환이되길 바랍니다.마음병의 해결을 위한 노력하는 모습이 참으로 보기좋군요.멋집니다.건승하세요.​​[참고문헌 및 논문 발췌] 율리니포괄적인지요법의 이해 <율리니심리연구소 운영진 공동저술> 1995​"
"최근들어 공황장애(두근거림,두려움,손발 저림,답답함 등) 증상이 자꾸 생기는데 이런건 어느 병원을 가야하나요? 최근에 스트레스도 많이 받고 하면서 더 그런것 같아요그리고 최근에 감기약 하고 음식 먹고 나서 심장이 심하게 두근거린뒤로 음식이나 약같은것도 잘 못먹겠어요 먹을때마다 또 긴장되고 두근 거림이 약하게 생겨요부산 북구쪽으로 병원좀 알려주세요","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","안녕하세요. 헬로마인드케어 심리상담사입니다.​요즘 들어 스트레스를 많이 받으셨던 것 같아요. 스트레스로 인한 두근거림, 두려움, 답답함 등이 느껴져 걱정이 되기도 하셨겠어요. 그렇다면 정신과 병원에 가셔서 진료를 받아보시는 게 좋을 거 같습니다. ​그리고 어떤 일로 인해 스트레스와 불안감을 느끼고 계신 것처럼 보여요. 보다 근본적으로 마음의 힘을 키우고 불안감을 줄일 수 있는 방법을 찾을 수 있도록 심리상담을 병행해 보시기를 권해 드립니다. ​답글이 도움이 되었기를 바랍니다. 혹시 심리상담이 더 필요하시다면, 헬로마인드케어 앱에서 기다리고 있을테니 언제든지 자유롭게 이용해주세요.​헬로마인드케어 상담사 드림"
"최근들어 공황장애(두근거림,두려움,손발 저림,답답함 등) 증상이 자꾸 생기는데 이런건 어느 병원을 가야하나요? 최근에 스트레스도 많이 받고 하면서 더 그런것 같아요그리고 최근에 감기약 하고 음식 먹고 나서 심장이 심하게 두근거린뒤로 음식이나 약같은것도 잘 못먹겠어요 먹을때마다 또 긴장되고 두근 거림이 약하게 생겨요부산 북구쪽으로 병원좀 알려주세요","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","공황장애에 좋은 블로그 포스팅 있어 소개해 드립니다.https://blog.naver.com/cnaming/221659763688          [서울상담, 서울최면 / 참마음심리상담센터] 공황장애 극복 안녕하세요. 참마음심리상담센터입니다.오늘은 공황장애의 원인과 극복방법에 대해 알려드리겠습니다.​공... blog.naver.com           ​​"
"혓바닥에 물집, 수포 같은 게 났어요ㅜㅜ",밥먹고 나서 갑자기 빨간게 낫어요ㅜㅜ 어떻게하죠?,"혹시! ~ 술을 자주 드시거나,담배는피우지 않으신가요. 병원에 내원을 하셔서 의사선생님과 상의를 한후에,정확한 검사를 받아보세요.  ^0^,"
"혓바닥에 물집, 수포 같은 게 났어요ㅜㅜ",밥먹고 나서 갑자기 빨간게 낫어요ㅜㅜ 어떻게하죠?,글세요..제가보기엔그렇지않아보임니다..우리들은간혹음식을 십다보면..혀를문느수가간혹.생기죠..구조상의문제도한몫하지요..그로인해.멍이들지않았나봐요..어느날갑자기.식사후에.불현듲..이런개나타났다..납득이가지않아요병원에한번가보시죠..님혹시..담배를많이피시는편인가요...........요즘은초교도..술이나담배를.접한다고함니다..다른이유에서의해생긴거라추측이됨니다..병원에꼭.가보세요..
레이저토닝 효과 질문해요.,"기미때문에 피부관리 받으려고 하거든요, 익산지역 안으로 병원 찾고있는데 찾는것도 어렵네요 도와주세요.그리고 기미에 레이저토닝이 효과있다고하는데 사실인지,아니면 어떤게 더 좋은지 추천부탁드립니다.",레이저토닝 효고조아욤~~~저희 엄마도 기미랑 잡티때매 진자 몇년을 고민하시다가이번에 받기 시작했는데 맨날 집와서 달라졌냐고 물어봐여ㅋㅋㅋㅋ똑같이 못생겼다고 장난치긴 하는데 진짜 어느날 보니까 피부가 많이 깨끗해지셨더라구여어머니는 아기주사랑 같이 맞는 패키지 하셨다고했고병원은 크리미로 다니세요ㅎㅎ많이 스트레스 받으시면 한번 가보세여
레이저토닝 효과 질문해요.,"기미때문에 피부관리 받으려고 하거든요, 익산지역 안으로 병원 찾고있는데 찾는것도 어렵네요 도와주세요.그리고 기미에 레이저토닝이 효과있다고하는데 사실인지,아니면 어떤게 더 좋은지 추천부탁드립니다.","필스토리 , 크리미 추천해요! 그리고 크리미는 홈페이지가서 이벤트? 잘보고 하세요! 가끔 엄청 저렴하게해서친구들이랑 보고 간적도 많아요!"
슈링크 300샷 맞으려는데 천안에 어느 병원이 잘하나요?,"볼살에 탄력이 없어져서 고민이에요.나이도 올해 서른셋밖에 안됐는데어느새 팔자주름도 생기고 푸석푸석해지고사진찍으면 볼살이 처진게 보여서 속상해요ㅠㅠ도움이 될까 싶어서 슈링크 300샷을 맞아보려고 하는데요,천안에 슈링크리프팅 잘해주는 병원 있을까요?믿을만한 병원 추천좀 부탁드려요~",콜라겐 섭취 많이하면 좋다고합니다:)
슈링크 300샷 맞으려는데 천안에 어느 병원이 잘하나요?,"볼살에 탄력이 없어져서 고민이에요.나이도 올해 서른셋밖에 안됐는데어느새 팔자주름도 생기고 푸석푸석해지고사진찍으면 볼살이 처진게 보여서 속상해요ㅠㅠ도움이 될까 싶어서 슈링크 300샷을 맞아보려고 하는데요,천안에 슈링크리프팅 잘해주는 병원 있을까요?믿을만한 병원 추천좀 부탁드려요~",천안에서 살질않아서........ㅋㅋ​그 지역내에서 슈링크잘하는곳은 추천못드리겠습니다 ㅠㅠ​근데 글보니까 ㅋㅋㅋ본문보니까 진짜 너무 제 예전 글같아서요...​저 더블로리프팅 받기전에 팔자주름이랑 볼살처짐때문에 너무 우울했거든요​필터끼고 사진찍어도 나이든건 숨길수가없고 ㅋㅋㅋㅋ​그래서 리프팅받았죠 뭐..​볼필러도 맞아봤는데 주사는 진짜 저랑 안맞아서 ​마음 확 접고 얼굴리프팅쪽으로 고개 돌리니 ​제가 선택할수있는 영역이라고 해야하나여??​그게 좀 넓어졌어요​더블로가 콜라겐 채워주면서 처진부분 끌어올려주고​꺼진부분 채워줘서 일단은 젤 좋았던게​자연스럽게 좋아졌다는거에요​효과도 두달내로 확실히 보여서 더 좋았구요​지금은 오개월마다 한번씩 받고 있고​얼굴에 그늘진부위나 꺼진부위 없는것만으로도 만족하며 삽니당^^
