제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.07.07.|2018.07.11.&section=kin&page=1
제가 정신적으로 아픈건가요?(정신건강),"제가 정신적으로 아픈건가요?안녕하세요..사실 병원에 가면 보다 더 정확하겠지만, 그래도 병원에 가는 건 역시 겁이 나서... 다른 분들의 의견을 좀 듣고 그 다음에 가고 싶어서요. 주변에 판단을 부탁하기엔 부담스럽고...반년 쯤 전부터 우울하고 무기력한 느낌이 반복적으로 있어왔습니다. 우울한 기분을 폭식으로 풀기도 여러 번. 하지만 다이어트를 해왔던 기억이 있어서, 적절한 때에 스스로를 조절해 살은 오히려 유지·2키로그램 정도가 빠진 상태입니다.(사실 2키로그램은 왔다갔다 하지요ㅎㅎ) 식욕과 음식에 대한 불안함? 이 과할 정도로 제 머릿속을 많이 차지하고... 지금도 그렇고.그러다 3월달부터 조금 호전되는 듯 싶었어요. 친구들이랑 술도 먹으러 다니고 사회생활도 하고있는 터라 괜찮은 것 같았어요. 하지만 전 몰랐는데, 이제와서 생각해보니 제가 외로워한 것도 같고... 같이 있어도 외로운 느낌이나, 하루 끝에 공허함? 같은 걸 좀 예민할 정도로 잘 느끼는 것 같아요.또 쉽게 상처를 잘 받아요. 남한텐 정말 사소한 말 한마디도 저는 그 말 듣고 죽고싶은 충동 느껴요. 무심코 식칼 같은 것에 시선이 가고 손에 쥐어보기도 하고... 그러다 결국은 겁이 나서 그만둡니다. 정말 사소한 잔소리나 말에도요 상처를 많이 받는 거 같아요.. 전 그럴때마다 제가 너무 미친거 같아서 그럴수록 더 슬퍼지고. 또 가끔 잘 때 속이 너무 답답해서 숨이 안쉬어져요. 가슴을 몇번 쳐보기도 하고 한숨도 계속 쉬고 해야 겨우 괜찮아져요.. 전에는 아 내가 우울증인가? 생각하다가도 저는 우울하면 안되는 사람이다, 내가 부족하게 자란게 뭐냐 싶어서 일부러 자기암시를 건 것 같아요. 가족들 다 힘든 거 옆에서 보이는데 난 거창하게 댈 이유도 없고 해서... 한참 심했을 땐 제 다이어리에 유서 비슷한 것도 써보고. 최근 많이 나아졌다 싶었는데, 갑자기 어느순간 눈물이 나거나 죽은 연예인들 영상·프로필을 찾아본다거나.. 그리고 또 그거 보고 울어요. 근데요, 밖에 나가서는 정말 정상인이거든요. 남들처럼 웃고 술도 마시고 그래요. 엄마 아빠랑도 현재는 사이 나름 괜찮고요. 주로 엄마 말에 상처를 많이 받긴 하지만요...(이 전엔 언니한테도 상처를 많이 받았어요) 감기처럼이라기도 뭐하지만 가끔씩 훅 하고 들어오는 것처럼 이런 우울감.충동. 그런게 와요... 약물치료가 필요한 상황일까요, 저? 그리고 많이 심각한 걸까요...?",허약자인   면역질환자 증상들인데      내분비과에서 체크해보도록   다이어트에  식습관이 엉망들이니   신체 정신 모두  병이 올수밖에
여자 오른쪽 아랫배 통증어제 학교에 있다가 갑자기 배가 너무 아프기 시작한 거예여제가 밖에선 화장실을 잘 못가서 매번 소변 참고 그러는데혹시 그거 때문인가 싶어서 화장실도 다녀왔는데 더 아프기만 하더라구요처음엔 어느 정도 참을만 했는데 점심 먹고 나서 오후에 또 미친듯이 아프기 시작했어요처음에 통증이 없던 오른쪽 아랫배도 걸을 때 가끔 찌릿하고 아파서 혹시 이게 그 말로만 듣던 맹장염인가 하고 그 부분을 눌러봣는데 아프진 않았구요시간이 갈수록 더 아파지기만 하는 게 왠지 생리통 같기도 해서 결국 조퇴를 하고 집에 와서 아랫배 따듯하게 하고 두시간 정도 자고 일어낫는데 머리도 띵하고 멍하고 어지럽고 이래서 저녁 먹고 통증 가라앉혀주는 약을 먹고 다시 잤어요오늘 아침에 일어나보니까 배가 어제만큼 막 미친듯이 아프진 않다라구요 그냥 살살 아픈 정도... 그래서 오늘은 학교 갈 수 있겠다 하고 씻고 나왓는데 옷 입다가 갑자기 오른쪽 아랫배가 아프기 시작했어요 어제처럼 눌러봣는데 어제랑은 다르게 너무 아팠고... 제가 해외에 살아서 병원 가면 병원비가 답없게 너무 많이 나와서 병원은 가고 싶지 않구요.. 병원 가란 말 하실 거면 답변하지 말아주세요 이게 맹장염인지 방광염인지 생리통인지 잘 모르겠는데 하루 정도 더 쉬면 나아질까요??ㅠㅠㅠ 참고로 저는 미성년자고 성관게 같은 건 하지 않았어요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",제가 볼 때 하루 이틀은 더 기다려볼만 할 듯 해요.아무래도 통증이 지속되면 말씀대로 생리통이나 방광염 의심해보셔야해요.답변 도움되었길 바랍니다.
여자 오른쪽 아랫배 통증어제 학교에 있다가 갑자기 배가 너무 아프기 시작한 거예여제가 밖에선 화장실을 잘 못가서 매번 소변 참고 그러는데혹시 그거 때문인가 싶어서 화장실도 다녀왔는데 더 아프기만 하더라구요처음엔 어느 정도 참을만 했는데 점심 먹고 나서 오후에 또 미친듯이 아프기 시작했어요처음에 통증이 없던 오른쪽 아랫배도 걸을 때 가끔 찌릿하고 아파서 혹시 이게 그 말로만 듣던 맹장염인가 하고 그 부분을 눌러봣는데 아프진 않았구요시간이 갈수록 더 아파지기만 하는 게 왠지 생리통 같기도 해서 결국 조퇴를 하고 집에 와서 아랫배 따듯하게 하고 두시간 정도 자고 일어낫는데 머리도 띵하고 멍하고 어지럽고 이래서 저녁 먹고 통증 가라앉혀주는 약을 먹고 다시 잤어요오늘 아침에 일어나보니까 배가 어제만큼 막 미친듯이 아프진 않다라구요 그냥 살살 아픈 정도... 그래서 오늘은 학교 갈 수 있겠다 하고 씻고 나왓는데 옷 입다가 갑자기 오른쪽 아랫배가 아프기 시작했어요 어제처럼 눌러봣는데 어제랑은 다르게 너무 아팠고... 제가 해외에 살아서 병원 가면 병원비가 답없게 너무 많이 나와서 병원은 가고 싶지 않구요.. 병원 가란 말 하실 거면 답변하지 말아주세요 이게 맹장염인지 방광염인지 생리통인지 잘 모르겠는데 하루 정도 더 쉬면 나아질까요??ㅠㅠㅠ 참고로 저는 미성년자고 성관게 같은 건 하지 않았어요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",맹장염인지 생리통인지 방광염인지는 병원을 가봐야 알 수 있어요 병원비용 많이 나와봤자 만원 안팍이니 병원 꼭 가보세요나중에 큰병걸려서 병원가면 병원비 더 많이 나옵니다
"평소 운동을 즐겨했는데 어느순간 허리가 악화 되더니 경국 참을수 없을만큼 통증이 와서 5.23일에 대학병원에서 디스크 수술을 받았습니다 4,5번 무슨 자그마한 핀(?) 엄지손톱 만한 플라스틱 형태 보조물이 영구적으로 들어가있는 수술을 했습니다 현재 보조기 차고 활동중이며 무리하지 않고 조금씩 걷고있습니다 현재 통증은 많이 가라앉았으며 왼쪽 발가락이 마취한듯 조금 무딥니다 언제 부터 허리에 도움이되는 코어운동이라던지 런닝을 뛸수있을까요? 제가 아직 20살이라 병역판정 검사를 받아야하는데 면제 받을 확률이 있나요?","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",이미핀이박혀있다면 면제받을확률 있을것같네요..
"평소 운동을 즐겨했는데 어느순간 허리가 악화 되더니 경국 참을수 없을만큼 통증이 와서 5.23일에 대학병원에서 디스크 수술을 받았습니다 4,5번 무슨 자그마한 핀(?) 엄지손톱 만한 플라스틱 형태 보조물이 영구적으로 들어가있는 수술을 했습니다 현재 보조기 차고 활동중이며 무리하지 않고 조금씩 걷고있습니다 현재 통증은 많이 가라앉았으며 왼쪽 발가락이 마취한듯 조금 무딥니다 언제 부터 허리에 도움이되는 코어운동이라던지 런닝을 뛸수있을까요? 제가 아직 20살이라 병역판정 검사를 받아야하는데 면제 받을 확률이 있나요?","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",허리디스크 재활 전문 닥터피티 길음점입니다. 아무래도 수술을 하셨다면 현역으로 가기는 힘들거라 예상이 됩니다만 검사를 받아봐야 알거 같습니다.달리기는 아직은 무리입니다. 달리는 충격이 허리에 많이 가해지기 때문입니다.코어 운동은 지금부터 하셔도 됩니다.다음의 운동을 꾸준하게 해보세요`첫번째 운동은 척추와 골반 밸런스를 맞춰주고 바로 통증을 줄여주는 운동입니다.         수시로 자주 해주시면 좋습니다!https://blog.naver.com/myengryel/221192453759두번째는 척추 심부 전체 강화 운동입니다.http://blog.naver.com/myengryel/221233065518궁금한점 있으면 물어보세요
"평소 운동을 즐겨했는데 어느순간 허리가 악화 되더니 경국 참을수 없을만큼 통증이 와서 5.23일에 대학병원에서 디스크 수술을 받았습니다 4,5번 무슨 자그마한 핀(?) 엄지손톱 만한 플라스틱 형태 보조물이 영구적으로 들어가있는 수술을 했습니다 현재 보조기 차고 활동중이며 무리하지 않고 조금씩 걷고있습니다 현재 통증은 많이 가라앉았으며 왼쪽 발가락이 마취한듯 조금 무딥니다 언제 부터 허리에 도움이되는 코어운동이라던지 런닝을 뛸수있을까요? 제가 아직 20살이라 병역판정 검사를 받아야하는데 면제 받을 확률이 있나요?","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","내몸에 맞지 않게무리한 운동은 척추관절에질환을 일으킵니다.왼쪽 발가락의 무딘 증상은오래갈수도있고, 빨리 풀릴수도있는데,이는 물리치료, 도수치료, 운동, 재활등을꾸준히 하면서 경과를 볼수밖에 없습니다.가능하면 무리가 되는 코어운동은척추 주변근육이 생기기 전에는 미루시길 바라며,걷기운동, 철봉운동, 수영중에 배영 등을 해보시길 바랍니다.추신. 허리 디스크로 면제를 받기는 매우 어렵습니다.거의 장애가 있을 정도여야 면제가 될것으로 생각됩니다.적절한 시기에 전문가를 찾아가신다면,척추도 내시경으로보고, 레이저, 고주파, 벌룬 등으로 치료하는경우가 많아지고 있습니다.쾌유를 빕니다."
여성인데 머리가 띵하게 아프며 하늘이돌고 천지가일어나서돌아요 조금있으면 괜찮아요 속이미식거리며천지가 빙글빙글,여성인데 머리가 띵하게 아프며 하늘이돌고 천지가일어나서돌아요 조금있으면 괜찮아요 속이미식거리며천지가 빙글빙글 돌아요 무슨병이며 어느병원으로 가야합니까,멀미요아니면 뇌졸중이요(너무 극단적인가?)
임테기 희미하게두줄/줄하나는실눈을뜨고...,임테기 희미하게두줄/줄하나는실눈을뜨고자세히봐야지만두줄인게보여요이거임신맞을까요? 피검사해야될것같은데 어디서 어떻게 해야되나요?,"안녕하세요. 초음파 검사에서 안 보이면 혈액검사를 추가적으로 할 수 있습니다.마지막 성관계 후 2주일이 경과하면 소변으로 임신확인할 수 있습니다.딱 2주일이 경과된 날에는 호르몬 함량이 높은 아침 첫 소변으로 검사하는 것이 좋습니다하지만, 그 이후에는 하루 중 어느 때 검사해도 무방합니다.임신확인을 빨리 하고 싶은 경우 또는 보다 더 정확하게 하고 싶은 경우병원에 나오시면 임신피검사, 임신혈액검사로마지막 성관계 후 10일 뒤면 확인할 수 있습니다.검사 결과는 20분 정도면 확인 가능합니다.도움이 되는 답변이 되었으면 좋겠습니다. 감사합니다.답변을 참고하시기 전에1. 온라인 상에서의 답변은 제한적인 정보에 따른 견해로 법적인 책임이 없는 참고 정보로만 고려해주세요.2. 정확한 의학적 검진과 판단은 가까운 산부인과에 방문하셔서 전문의에게 들으시기 바랍니다.3. 여성암2위 사망률 자궁경부암은 예방백신접종으로 예방이 가능합니다."
임테기 희미하게두줄/줄하나는실눈을뜨고...,임테기 희미하게두줄/줄하나는실눈을뜨고자세히봐야지만두줄인게보여요이거임신맞을까요? 피검사해야될것같은데 어디서 어떻게 해야되나요?,우선은 임신테스트기를 하나 더 사서 검사해보시고두줄이면 산부인과가서 자세한 검사가 가능하세요임신테스트기도 간혹 불량이 있어서 거의 2개로 확인을 하시는데 둘다 결과가 신통치않으니 하나 더 사서 해보시고 산부인과 검사를받는게 좋을것같습니다
임테기 희미하게두줄/줄하나는실눈을뜨고...,임테기 희미하게두줄/줄하나는실눈을뜨고자세히봐야지만두줄인게보여요이거임신맞을까요? 피검사해야될것같은데 어디서 어떻게 해야되나요?,임신초기때는 희미하게 나올 수 있어요.산부인과가면 피검사로 정확히 알 수 있구요.산부인과안가고 임태기로 다시 해보시려면생리예정일 +1주정도 지나서 아침 첫소변으로 테스트해보시면 좀 더 정확하실거같아요.
임테기 희미하게두줄/줄하나는실눈을뜨고...,임테기 희미하게두줄/줄하나는실눈을뜨고자세히봐야지만두줄인게보여요이거임신맞을까요? 피검사해야될것같은데 어디서 어떻게 해야되나요?,산부 인과가보세요.여성 아니신가요?상식이죠.산부인과
임테기 희미하게두줄/줄하나는실눈을뜨고...,임테기 희미하게두줄/줄하나는실눈을뜨고자세히봐야지만두줄인게보여요이거임신맞을까요? 피검사해야될것같은데 어디서 어떻게 해야되나요?,임신테스트기 희미하더라도 2줄이면 임신 예상 해야합니다.암이여도 2줄 뜨고요.임신테스트기는 하셨으니 산부인과 가셔서 피검사 포함한 정확한 진단이 필요하겠네요.
중2남학생을 둔 엄마입니다ㆍ참고로 중2의 동생 초6여동생은 아들과 정 반대입니다ㆍ예를들어‥방을 치운다거나 폰을 좀 그만한다거나ㆍ부모와 약속을 하고는 언제 치우겠다까지 본인이 얘길하게 하여 그시간에 보면 치우지않고 어기는 횟수가 계속 반복됩니다ㆍ그리고는 이런저런 핑계를 댑니다ㆍ엊그제는 아들의 요구?를 들어주면 설거지를 주3회하겠다더니 그것도 안지켜집니다ㆍ아들이 그런 제시를 했으면 중2면 지켜야한다고 보는데‥학원을 에이반 보다 높은 에스반 다니다 진도빨리나간다고 못참고 스스로 에이반에 보내달라고 하여 제가 나중에 알았습니다‥힘든상황을 견디지않습니다ㆍ못견디는건지 ㆍㆍ결국은 다시 에스반에 갔고 영수만 다니다 자기생각보다 다른과목성적이 덜 나왔다고 생각해 스스로 종합반에 들겠다하여 한달을 하더니 아예 학원을 안다니겠다고해서 아빠는 아들의 의사를 들어 쉬는상태‥이또래 아이들이 그러겠지만 자율권을 주어 오락은 매일 2시간ㆍ혹은 1시간반ㆍ이젠 종합반4시간짜리조차 안가니 더 폰에 집중ㆍ중1때 키크라고 친구들과 농구시작했으나 제일먼저 두달만에 자기스탈아니라며 그만두었습니다ㆍ저는 좀 강요?해서라도 연계시키려하는데 아빠의 교육방식은 싫다면 시키지마라는겁니다ㆍ저는 그 시기를 넘겨야 이겨낼 수 있다생각하는데‥종합학원 끊고 합기도를 친구들과 다니는데 임박해서 가거나 9시에 합기도시간인데도 오락하느라 9시에 헐레벌떡‥그제는 폰을 몇시까지봤는지 ㆍ낮에 학교에서 전화가와서ㆍ아들이 머리가 너무아프다고 양호실가서 약먹은지 2시간되도 아프다고 조퇴‥아빠가 집에 와서 병원가자니 안가도 된다고‥얘길들으니 밤늦게까지 폰‥아침6시일어나서 몰래 폰‥아빠에게 걸려 결국 폰압수‥이런상태입니다ㆍ아들이 자기 방어하기위해 계속 핑계ㆍ이런저런 작은 거짓말들을 하고ㆍ약속이행을 안하고ㆍ자기가 안좋은건 더이상 해보려하지않습니다ㆍ그러다보니 성적또한 제가 바라는? 상태는 아닙니다ㆍ평균보다 높다고 자랑ㅋ을 하니‥혹시 ADHD이런거일까요?그럼 약을 먹고 고치면 좋겠습니다ㆍ 중2의 평균은 아닌듯싶어서‥,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","질문자님이 자세하게 질문을 작성해주셔서 상황을 이해하는데 많은 도움이 되는 것 같습니다.많이 답답하시죠? ^^;이것저것 이야기할꺼리가 많고 드릴 이야기도 많습니다만,게시판의 특성상 여러 한계가 있기 때문에그 중에서 제일 중요한 것에 대해서 이야기 해보려 합니다.가장 먼저, 그리고 가장 시급한 것은 자녀분의 행동교정이 아니고부모님, 즉 아버지와 어머니 사이에 교육철학의 공유가 제대로 않된 것처럼 보입니다.초등시절까지, 요즘은 자유학기/학년제가 보편화되어 있기 때문에 중1까지는부모님의 상이한 교육철학이 크게 문제가 않될 수도 있습니다.하지만 중2부터는 다릅니다.어느 수준에 대학을 목표로 할 지를 잠정적으로 정해서 이제 학업적으로 달려야하는 시기이거든요.부모님 어느쪽의 방침이 나쁘다, 혹은 좋다라는 이야기가 아닙니다.어떤 방식이던 정해서 일관된 교육 환경을 구성해주는 것이 중요합니다.이게 먼저고, 이게 제대로 확립된 상태에서 그 틀에 맞게 자녀분의 행동교정이 이루어져야겠지요.당연한 이야기입니다. 하지만 쉽지는 않습니다. 그게 문제죠. ^^;어렵기 때문에 노력이 필요합니다.여름 휴가시즌도 다가오니 남편분과 잘 이야기를 나눠보세요.그런 노력들이 상황을 좋은 쪽으로 가게 할 겁니다.좋은 결과가 있기를~"
"안녕하세요, 피부가 너무간지러워서 질문드립니다 지금당장 병원을가기 어려운상황이라 대충이라도 증상이뭔지 알고싶습니다 가려움증이 시작된건 10일정도 된거같습니다, 처음에는 허벅지 바깥쪽이 미친듯이 가려워서 벅벅 긁었습니다 그후 손바닥,손가락,발바닥,발가락,등, 어깨쭉지쪽,허리,겨드랑이,생식기쪽까지 미친듯이 가렵더니 지금현재는 엉덩이랑, 어깨쭉지가 가장심합니다ㅠㅠ 참을수없을정도에 가려움이에요... 샤워도 해봤고 그런데 머리두피까지 간지럽습니다 특히 구렛나루랑 목뒤쪽.. 일단 사진을 첨부했는데 이게 엉덩이부분입니다 밤에만 가렵고 이란게아니라 낮에도 가렵습니다 하루종일 간지럽다가 1시간정도 멀쩡하고 어느순간 또 미친듯이 옵니다 ㅠㅠ 네이버에 검색해보니까 두드러기일수있다는데 옴은 아니겠죠? 답변부탁드립니다 ㅠㅠ","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",옴과 두드러기의 차이는 생식기에 표피증폭적 차이입니다.따라서 개인적 소견으로 보았을때 옴일 가능성이 커보입니다.
남성인 여성의 유방인 여유증에 대해,저기 죄송한말씀이지만..급합니다.제가 2014년08월03일날 부산 양산대병원 유방클리닉에서입원을 해서 2014년08월04일날 수술을 하게된답니다.그런데 유방수술이 큰수술인가요.또한 사실 여유증때문에 목욕가는게 두렵습니다.남자인데도 여성의 유방인 초등학교6학년정도의 여자가슴을 가지고있다가.부산 양산대병원 김현열 교수님한테 약을 타먹고했었는데.조금 들어가서 지금은 보통 초딩3학년4학년5학년의정도의 가슴을 가지고있습니다.그래서 답답합니다.수술을 해야한다고하기는 하지만.그게 어렵지않은지.,"안녕하세요. 답변 드립니다. 여유증은 그 자체가 병은 아닙니다.미용상 또는 통증을 이유로 수술을 하는 것이지요.약물치료로는 어느 정도 크기가 줄어들기는 하겠지만,1년 이상 경과한 여유증은 약물치료로 없어지지는 않습니다.여유증을 해결하실 요량이시면 수술 이외에는 방법이 없습니다.수술 간단합니다. 큰 후유증 없이 수술 마칠 수 있습니다.채택 꼭 부탁 드립니다."
왼손 손목 골절 자전거 사고 합의금,"어머니가 인도에서 걸어가시다가, 달려오는 자전거에 세게 부딪혀벽에 넘어지시면서 머리를 쿵 박으시며 팔로 무게중심이 실려왼손 손목이 심하게 골절되시고 오른손도 인대가 늘어나셨어요.무릎도 멍이 심하게 드셨네요,바로 119에 전화하고 근처 지구대 경찰에 신고는 해두었어요,가해자가 100% 잘못 한 건이에요. 근처 병원에서 응급처치 후에 정형외과 병원에 입원하셔서왼손 손목 골절 수술을 하셨어요.수술 결과는 핀을 여러개 박고, 금속판도 손에 박으셨다고 해요.핀은 4주후에 제거하시고, 금속판은 1년후에 제거하는 것으로 의사가 말을 하였어요.어머니 연세가 62세 정도시고, 일은 안하시고 주부셔요, 양팔을 다치셔서 앞으로집안일을 전혀 못 하시게 되고, 수술한 팔도 앞으로 장해가 남을 것 같아요.변호사에 물어보니, 합의는 최대한 늦게 하라고 하는데요,휴유장해진단서를 받고 앞으로 계속 병원에 통원치료를 주기적으로 하실 것 같은데,합의 시기 또는 합의금을 어떻게 산출 해야 할지 답변 부탁드려요,","안녕하세요. 서울지방변호사회-네이버 지식iN 상담변호사 이상헌 입니다.사고로 인하여 상해가 발생한 경우 손해의 항목은 소극적 손해(일실수입), 적극적 손해(치료비 등), 정신적 손해(위자료)의 항목으로 이루어집니다. 소극적 손해(일실수입)은 사고로 인하여 피해자가 입은 상해로 장해가 남는지 여부, 장해가 남는다고 할 경우 그 장해가 영구장해인지 아니면 한시장해인지, 후유장해율이 어느 정도인지 여부(입원기간은 100% 노동능력이 상실된 것으로 봅니다), 사고 당시의 피해자의 소득 등에 따라 결정됩니다. 적극적 손해(치료비 등)은 사고로 인한 장해를 치료하기 위하여 필요한 치료비, 간병인이 필요한 경우 간병비용, 보조구가 필요한 경우에는 보조구비 등에 따라 결정됩니다. 위와 같은 소극적 손해와 적극적 손해가 계산된 이후 피해자의 과실정도에 따라 손해액의 감액이 이루어집니다. 정신적 손해의 경우는 사고의 경위, 사고로 인하여 피해자가 입게 되는 장해의 정도, 사고 당시의 피해자이 나이, 소득, 피해자의 과실정도 등 사정을 고려하여 결정됩니다. 사실 위와 같은 손해액을 계산함에 있어서 가장 중요한 부분은 피해자의 사고 당시 소득이 얼마였는지와 사고로 인하여 피해자에게 후유장해가 남는지, 그 장해의 정도가 어느 정도인지 여부이고, 특히 사고로 인하여 피해자에게 남는 후유장해의 정도가 결정적인 부분입니다. 피해자에게 사고로 인하여 어떠한 후유장해가 남는지는 충분히 치료를 받아 더 이상의 개선 가능성이 없을 상태, 즉 증상이 고정되었을 것을 전제로 판단하게 되는데, 사고가 발생한지 얼마되지 않은 상황에서는 후유장해가 발생할지, 발생한다고 할 경우 그 장해의 정도가 어느 정도인지에 대한 판단이 어렵습니다. 따라서 상담을 받으신 변호사분의 말씀대로 치료를 충분히 받으시고 후유장해의 판단이 가능해지는 시점에서 합의를 하시는 것이 맞을 것으로 보이네요.다만, 어머님의 나이를 고려한다면 어머님이 사고 당시 수입을 올리는 일을 하였다는 등의 특별한 사정(특별한 사정이 있다고 하더라도 가동기한이 인정되는 기간은 사고 후 2~3년 정도일 것으로 보이네요)이 없는 한 가동기한이 이미 경과한 이상 소극적 손해(일실수입)는 인정되기 어렵지 않을까 싶습니다.도움이 되었으면 합니다."
저번주 목요일에 허리쪽으로 멍든것처럼 아파서 만져봤더니 피부안에 동글한게 임파선이 부은것처럼 만져지더라구요 만지면 왔다갔다 움직여요!! 그래서 저번주 금욜날 일반내과 갔는데 피검사해보자그래서 피뽑고 월요일에결과보러갔는데 염증이심하진않다고 그래서 약먹고 목요일날 다시오라그러셨어요. 그때도 그대로면 초음파해보자그랬는데.. 목에임파선이 부었을때 이비인후과가서 초음파검사 없이주사맞고 약먹었더니 조금만져지긴해도 작아졌었거든요?? 그냥 이빈후과가도되는건가요?? 림프절인지 지방종인지 모르니 초음파해보자는데 초음파로 알수있는건가요??만약 지방종이라면 꼭 제거수술을해야하는 건가요??지방종은 어느병원을가야하는거죠??초음파비용은 어떻게될까요??,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","허리쪽은 림파선이 만져지는 경우가드문 부위인데요,지방종이나 피하낭종 감염 등일 가능성이있어보입니다.간혹 양성/악성 질환을 감별진단해보고,1-2센티 절개해서 절제술을 해야할수도있으므로척추쪽 절개를 하는 작은 수술까지 가능한신경외과 전문의를 찾아기시길 바랍니다.(또한 초음파 판단을 정확하게 하시려면영상의학과 전문의가 같이 있는게 좋겠습니다)쾌유를 빕니다."
주근깨 빼고 병원에서 5일동안 약을 바르고 오늘이 그 5일이 마지막날이에요 근데 딱지가 안생겨요 제가 주근깨 2번을 뺏는데 3월달에 한번 저번주 토요일에 한번 그때 3월달에는 딱지가 생겼는데 이번에는 왜 딱지가 생기지 않을까요?? 5일동안 바르라고 했는데 딱지 안생겨서 딱지 생길때까지 약 계속 발라야할까요???,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",밴드혹시 계속붙히고계셨는지 ..? 어느정도 통풍도되어야 흉터가 빨리아물어요
주근깨 빼고 병원에서 5일동안 약을 바르고 오늘이 그 5일이 마지막날이에요 근데 딱지가 안생겨요 제가 주근깨 2번을 뺏는데 3월달에 한번 저번주 토요일에 한번 그때 3월달에는 딱지가 생겼는데 이번에는 왜 딱지가 생기지 않을까요?? 5일동안 바르라고 했는데 딱지 안생겨서 딱지 생길때까지 약 계속 발라야할까요???,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","예 , 계속 발라야 함."
남성수술 가까운데가 좋을까요? 멀어도 잘하는데로가야할까요?,"남성수술을 하려합니다인터넷검색은 너무 포괄적이라서요제일궁금한게 하고나서 부작용을 최소로 하려면 관리를 잘해야하는데집은 인천이라 가깝고 전문비뇨기과병원으로 선택해야하는지 아니면 유명하고 남성수술만 전문으로 하는서울에잇는곳으로 가야하는지가 ... 궁금합네요여기저기 다들 잘한다잘한다하는데 부작용이나뭐나 걱정도되고요하게된다면 대체진피로 하고싶네요1.요점: 집에서 가까운 병원을 가느냐? 멀어도 수술전문병원을 가느냐?두번째질문은 제가 자연포경인데 평소에는 살짝 덮어잇다가 발기 시 에는 완전깨긋하게 포경한거처럼되네요 몇차례 상담은 받아봣엇는데 포경은 해야한다고 하는데.. 안하면 염증이 생긴다고..걱정이되네요부작용들보니깐 살을 많이오려나서 너무땡기시는 분들도 있다해서요..남성수술은 꼭하고싶지만 가격을떠나서 여태 포경안하고 잘지내다가 포경과 동시에 확대술을 해야한다니제일 걱정되네요.. 포경을 안하고 수술을 할경우 많이위험한가요?2.요점:자연포경인데 굳이 포경을 같이해야만 하나요?세번쨰질문입니다제가 지루에 가깝게 사정이 엄청 늦습니다 물론 어느정도 힘을주어서 어느정도 조절은 가능합니다그치만 사정이안될떈 엄청안되더라고요,, 30분에서 1시간까지도 ...술마시고 할때는지쳐서 포기할때두 있구요남성수술받으면 더 둔해져서 더심해질수도있을까요???인천비뇨기과  몇군데봣지만 확실치가않아서 추천부탁드립니다서울비뇨기과는 예작이랑 블루보고있는데 고민되네요...병원광고하시는분들 말고 진지하게 답변부탁드립니다^^",안녕하세요. 남성수술에 대한 내용 답변 드리도록 하겠습니다. 남성수술은 재료와 방법들이 어느 정도 평준화 되어 있습니다. 하지만 진행하는 의료진의 실력에 따라 결과적인 부분이 달라 질 수 있습니다. 그렇기에 경험이 풍부한 의료진을 선택하는 것이 중요하다고 할 수 있습니다. 자연포경인 경우에는 포경을 하실 필요가 없지만 대체진피를 사용하는 확대수술을 진행하신다면포경수술이 필요합니다. 포경라인을 미세 절개하여 재료가 들어가기 때문이죠.
