담당자,부위,증상,질환명,진료과,TAG
송연정,피부,"피부 밖에서 지방종을 만져보면 살짝 움직이는 말랑말랑한 고무 덩어리 같음. 보통은 아프지 않지만, 크게 자라서 신경을 누르거나 혈관과 얽혀있으면 아프기도 함. 드물게 장기에 지방종이 생기면 지방종이 장기를 압박하면서 문제가 생길 수 있음",지방종 Lipoma,"피부과, 성형외과","덩어리,  혹,  피부 아래 몽우리, 양성 지방종성 신생물,  지방육종"
송연정,피부,"초기에는 피부에 붉은색, 자주색, 갈색의 반점이나 딱딱한 구진, 납작한 결절(덩어리)이 보임. 통증은 없지만, 천천히 자라남. 얼굴이나 팔다리뿐만 아니라 입안 같은 점막에도 생길 수 있음. 카포시 육종은 장기도 침범할 수 있음. 위장관을 침범하면 복통이나 설사, 혈변이 보임. 폐를 침범하면 기침이나 객혈, 호흡곤란도 보일 수 있음.",카포시 육종 Kaposi's sarcoma,"피부과, 방사선종양학과","피부 반점,  결절, 후천성면역결핍증후군"
송연정,피부,"옴진드기는 주로 밤에 활동하는데, 암컷이 사람 피부에 굴을 파서 피부 속으로 파고들어서 옮겨 다니며 알을 낳음. 이때 만들어 내는 분비물이 알레르기 반응을 일으켜서 밤에 극심한 가려움증을 유발. 가려움증은 옴에 전염되고 4~6주 후에 나타나는데, 많은 수의 옴진드기에 감염되거나 이전에도 감염된 적이 있는 경우는 가려움증이 더 빨리 나타남.
파고 들어간 굴의 입구에는 하얀 비듬이 보이고, 굴 아래쪽에는 작은 수포나 고름이 만들어짐. 특히, 손가락, 발가락 사이나 손목 안쪽 부위, 겨드랑이, 사타구니와 같이 부드러운 피부 부위에 잘 생기고, 벌레에 물린 것 같은 작은 붉은 발진이 보임. 어린아이의 경우에는 손바닥, 발바닥, 두피에 잘 생김. 가렵다고 심하게 긁으면 2차 감염을 유발할 수 있음. ",옴(진드기) Scabies,피부과,"소양감,  가려움,  비듬,  각질,  수포, 옴진드기,  개선증"
송연정,피부,"어루러기는 가슴, 등, 겨드랑이, 목처럼 땀이 많이 나고 피지선이 많은 부위에 주로 생김. 주변 부위보다 색이 더 밝거나 어두운 반점이 다양한 크기로 나타남. 반점에서 미세한 각질이 일어나기도 하고 약간 가렵기도 해요. 하지만 다른 사람에게 전염되는 병은 아님. 
덥고 습한 여름철에는 땀을 많이 흘리게 됨. 곰팡이는 이런 환경을 좋아함. 여름철에 더욱 눈에 띄고, 땀을 흘리고 제대로 씻지 않으면 심해질 수 있음. 어루러기가 생긴 부분은 햇볕에 잘 타지 않기 때문에, 피부가 햇볕에 노출되면 반점이 더 도드라져 보임. 어루러기는 누구에게나 생길 수 있지만, 청소년이나 젊은 사람들, 면역력이 약해진 사람들, 스테로이드제를 오래 사용하고 있는 사람들, 임신부에게 더 잘 생김.",어루러기 Pityriasis versicolor(Tinea Versicolor),피부과,"피부 얼룩덜룩,  반점,  흰색 점,  탈색,  말라세지아, 전풍,  백반증"
송연정,피부,"발 백선은 발가락 사이가 하얗게 짓무르고, 피부가 갈라지고, 각질이 벗겨지는 증상이 가장 흔함. 발 구조상 통기가 잘 안되는 4, 5번째 발가락 사이와 3, 4번째 발가락 사이에서 많이 발생함. 발 백선이 생기면 그 부위가 가렵고 발 냄새가 심해짐. 양발의 발가락과 발바닥까지 증상이 번질 수 있음. 발바닥과 발 옆 부분에는 노란 장액이 차 있는 물집이 생기기도 함. 발 전체에 하얀 각질이 두껍게 생겨 가루처럼 떨어지는 것도 발 백선의 증상 중 하나.
가렵다고 손으로 긁으면 손상된 피부를 통해 2차 감염이 일어날 수 있음. 또 발 백선을 긁은 손을 통해 곰팡이가 번지면 몸의 다른 부위에서도 백선이 생길 수 있음.","발 백선(무좀, 족부 백선) Tinea pedis",피부과,"발 가려움,  발 각질,  발 수포,  발 짓무름,  피부사상균, 무좀,  발톱무좀"
송연정,피부,"수염 백선은 성인 남자의 콧수염, 턱수염 주변 모낭과 피부에서 발생하며 표재성과 심재성으로 나뉨. 표재성 수염 백선은 원형의 붉은 반점이 나타남. 심재성 수염 백선은 독창과 유사한 형태를 보임. 모낭에 염증을 일으켜 농포를 만들고, 모공에서 농이 배출되면서 쉽게 털이 뽑혀서 탈모를 남김. 수염 백선은 50대 남성에게서 빈번하고 농부에게서 많이 나타남.
두피 백선은 머리의 모발, 모낭, 두피가 피부사상균에 감염되어 발생. 피부사상균은 감염되면 건조한 두피각질(비듬)이 많이 생김. 머리카락이 쉽게 끊어지거나 빠지고, 원형의 뚜렷한 붉은 반점이 생기거나 둥근 모양으로 머리가 빠진 부위(탈모반)가 여러 개 생김.
두피 백선은 어린이에게서 흔하고 전염성이 높음. 애완동물과 사람이 서로서로 곰팡이를 옮길 수도 있고, 백선을 앓고 있는 사람과 직접 접촉하거나 옷, 수건 등 물건을 통해서 간접적으로 접촉해도 옮을 수 있음. 심한 경우 두피에 염증을 일으켜 농양이 생기고 심한 통증과 고름이 나오는 독창으로 발전할 수 있음. 독창은 두피에 흉터를 남기고, 흉터가 생긴 자리는 머리카락이 자라기 어려워서 결국 탈모가 생기기도 함.",수염 및 두피백선 Tinea barbae and Tinea capitis,피부과,"원형탈모,  비듬,  각질,  염증,  탈모반,  곰팡이,  피부사상균,  독창, 링웜,  도장부스럼,  버짐,  무좀,  두부 무좀,  완선"
송연정,피부,"바이러스에 노출된 뒤 10일~21일 사이의 잠복기를 지나서 가려운 발진이 시작 됨. 발진이 생기기 전에 미열과 함께 피곤함을 심하게 느끼는 사람도 있음. 피부가 붉게 부어오르면서 전신에 물집이 많이 생김. 심한 사람은 점막에도 물집이 생기기도 함.
발진이 나타나면 세 단계를 거쳐서 나음. 새로운 발진은 며칠 동안은 계속 여기저기 생기기 때문에 수두에 걸리면 이 세 단계의 발진이 모두 나타남. 
1) 빨갛고 부은 피부 위에 딱딱한 덩어리가 생김.
2) 덩어리에서 물집으로 변하고 마지막에 터짐. 
3) 터진 물집이 마르면서 딱지와 각질로 변함.
전염성은 모든 물집이 말라서 각질로 변할 때 없어짐. 전염성이 없어질 때까지 어린이집, 유치원, 학교, 회사는 쉬어야 함. 성인이 수두에 걸렸다면 소아보다 증상이 훨씬 심각할 수 있으니 꼭 의사의 진료가 필요.",수두 Varicella(Chickenpox),"감염내과, 소아청소년과, 소아감염면역과","물집,  수포,  발진,  반점,  가려움,  탈수,  수두대상포진바이러스, 수족구,  대상포진,  농가진,  성인 수두"
송연정,피부,"바이러스에 감염된 후 1~6개월 뒤에 증상이 나타나기 시작함. 분홍색이나 회색, 갈색의 작고 오돌토돌한 혹이 생기기 시작함. 눈으로 관찰하기 어려울 때도 있음. 혹이 여러 개 모여서 산딸기나 콜리플라워 모양처럼 보이기도 함. 대부분 아프지는 않지만, 성관계를 하거나 마찰이 있을 때 쉽게 출혈이 일어나기도 하고 가려움증을 일으키기도 함. 첨규콘딜롬은 주로 여성의 외음부, 질 벽, 항문 주위, 자궁경부에 생기고 남성의 경우는 음낭, 음경, 항문 주위에 생김. 사람유두종 바이러스에 감염된 사람과 구강 성 접촉을 한 경우에는 입이나 목에서도 첨규콘딜롬이 발견될 수 있음. 임신한 경우에는 사마귀의 크기가 갑자기 커질 수 있음.",첨규콘딜롬(첨형 콘딜로마) Condyloma accuminatum,"산부인과, 비뇨의학과","돌기,  가려움,  사마귀,  인간유두종바이러스,  사람유두종바이러스,  HPV,  항문, 콘딜로마, 뾰족콘딜로마,  첨규콘딜로마,  첨규콘딜롬,  곤지름,  음부사마귀"
송연정,피부,"증상은 감염되고 나서 2~4일 정도 잠복기를 거친 후 나타남. 처음에는 39도 이상의 고열과 복통, 구토, 식욕부진이 나타나고 편도와 목이 빨갛게 부어오르면서 통증이 심함. 하루 이틀 뒤부터는 작고 붉은 발진이 몸통에서 시작해 팔다리로 퍼져 전신에 생김. 발진이 생기지 않는 입 주위만 하얗게 보임. 성홍열의 특징적인 증상은 ‘딸기 혀’. 혀의 유두가 붓고 딸기처럼 빨갛게 변해 붙여진 이름. 초반에는 흰색 막으로 뒤덮이고, 며칠 후 막이 벗겨지면서 오돌토돌하고 빨간 혀가 나타남. 전신에 생기는 피부 발진이 없어질 때 피부 껍질이 벗겨지기도 하지만 흉터가 남지는 않음.
성홍열은 합병증을 남기는 경우가 있음. 감염이 중이염, 폐렴, 골수염, 수막염, 부비동염 등으로 번지기도하고 그 후에 사구체신염, 류마티스열 등 후유증을 남길 수 있는 질환으로 발전하기도 함. 그러므로 빨리 진단하여 치료를 시작하는 것이 중요. ",성홍열 Scarlet fever,"소아청소년과, 소아감염면역과","발열,  인후통,  딸기혀,  발진,  연쇄상구균, 가와사키병,  돌발진,  수두"
양수빈,팔과 손,"어꺠 부위(삼각근)의 통증 누운자세에서 통증이 심해짐. 팔을 들거나 등 뒤로 돌리기가 어려움. 운동 범위가 감소. 연령 증가에 따른 퇴행성 질환이지만 어깨를 무리해서 사용하거나 외상에 의해서도 발생할 수 있다. 어깨 부위에 염증이 생기면서 주로 힘줄이 상완골두에 부착하는 부위(대결절)에서 파열이 발생하고, 어깨의 견봉 밑 공간에서 충돌로 인해 회전근개 손상이 발생하기도 함",회전근개파열,"정형외과, 마취통증의학과, 관절스포츠재활센터, 재활의학과","어깨 통증, 어깨 소리, 팔 안올라감, 유착성 관절낭염, 어깨충돌증후군, 어깨 석회화, 동결견, 오십견"
양수빈,팔과 손,"손목과 손가락에 저린 느낌과 통증이 나타나는 질환. 손목과 손가락의 통증, 저린 느낌, 감각저하 등의 증상이 나타남. 정중신경은 손목에서부터 뻗어 나와서 엄지와 검지, 중지, 약지의 1/2 부분의 감각을 담당한다.정중신경이 눌리면 이 부위의 감각이 떨어지거나, 반대로 저리고 따끔거리는 통증이 느껴진다. 특히 통증은 밤에 심함, 그래서 자다가 손이 저리고 아파서 잠을 깨게 되는 사람도 있다. 손을 주무르거나 털면 증상이 조금 호전되기도 한다. 증상이 심하면 바느질이나 단추 끼우기같은 정교한 손동작이 어려워지고, 쥐는 힘이 약해져서 물건을 쉽게 떨어트리게 된다. 엄지손가락 두덩의 근육이 위축되기도한다. 수근관은 손목 안쪽에 있는, 인대와 뼈로 둘러싸인 공간이다. 수근관이 좁아지거나 내부 압력이 증가하면 정중신경이 눌리면서 손목터널증후군의 증상이 나타남. 중년 여성에게서 가장 많이 나타나지만, 손목을 많이 사용하는 사람에게도 나타남. ",손목터널증후군(수근관증후군),"정형외과
","손목 통증, 손목 찌릿, 손 저림,  손 감각저하, 손 힘 빠짐, 쥐는 힘 약함, 갑상선기능저하증, 당뇨병, 만성 신부전, 후종인대골화증, 목 디스크, 경추간판장애, 경추 추간판 탈출증"
양수빈,팔과 손,"요산이 축적되어 발생하는 염증성 관절염. 관절이 갑작스럽게 붓고 열감과 심한 통증이 나타나는 통풍 발작, 즉 급성 관절염의 형태로 시작. 보통 한군데 관절에 급성 관절염이 나타나는데 주로 엄지발가락, 발목, 무릎 등 하지 관절에 흔히 발생. 특히 엄지발가락 관절염은 통풍 환자의 90% 이상에서 나타날 정도로 매우 흔하다. 하지 관절 외에 손목, 팔꿈치에도 관절염이 나타날 수 있습니다. 또한 관절염이 반복적으로 발생하면 여러 군데의 만성관절염으로 발전할 수 있다. 발열과 오한이 동반되기도 하며, 심한 경우 통풍 결절에 의해 관절이 손상돼 변형을 일으키기도 한다.  발열과 오한이 동반되기도 하며, 심한 경우 통풍 결절에 의해 관절이 손상돼 변형을 일으키기도 한다.",통풍,류마티스내과,"관절 통증, 관절 부종, 열감, 덩어리,  신장 결석, 고요산혈증, 대사증후군, 이상지질혈증, 비만, 통풍, 요산, 황제병, 퓨린, gout, uric acid, 엄지발가락통증, 통풍발작"
양수빈,팔과 손,"어깨의 통증, 주로 팔을 위나 옆으로 들 때, 뒤로 돌릴 때 발생. 자려고 누웠을 때 통증 때문에 잠들지 못하거나, 어렵게 잠이 들었다가도 통증으로 인해 잠에서 자주 깨는 등 삶의 질을 떨어뜨리는 요인. 반면 어깨를 움직이지 않고 가만히 있을 때는 통증이 줄어들거나 나타나지 않는다.  팔의 가동 범위가 점차 줄어든다. 이 단계에서는 뒷짐을 지거나 안전벨트를 매거나 바지춤을 올리거나 양치질, 세수, 머리 감기 등을 하기 위해 팔을 들거나 선반에 있는 물건을 집으려고 팔을 들 때 어깨 통증이 심해진다. 팔을 올릴 수 있는 범위도 줄어든다.. 이 단계에서 더 악화하면 팔을 조금만 들어도 아프거나, 아예 팔을 들지 못할 수도 있다. 다른 사람이 팔을 잡고 들려고 해도 올라가지 않는다.
오십견과 증상이 비슷한 질병으로는 회전근개 파열이나 석회화건염 등으로 인한 충돌 증후군이 있다. 이 질환들은 특히 팔을 옆으로 들 때 통증이 발생하는 특징이 있다.오십견은 팔을 옆으로 들 때도 아프지만 특히 팔을 뒤로 돌리는 ‘열중쉬어’ 동작이 큰 통증을 유발. 따라서 화장실에서 뒤처리할 때나 여성의 경우 속옷을 갈아입을 때 심한 통증이 발생하는 경우가 많다.",오십견(동결견),"정형외과, 통증클리닉, 마취통증의학과, 재활의학과","어깨 결림, 어깨 통증, 견통, 팔 안올라감, 어깨 안움직임, 당뇨병, 갑상선질환, 동결견, 오십견, 회전근개증후군, 회전근개파열, 석회화건염, 어깨충돌증후군, 도수치료, 극상근건염, 유착성관절낭염, frozen shoulder"
양수빈,팔과 손,팔꿈치 바깥쪽에서부터 발생하는 통증이 손목과 팔을 움직일 때 심함.팔꿈치 바깥쪽에서부터 손목 방향으로 뻗어나가는 통증. 물건을 들거나 밀 때 팔꿈치 바깥쪽이 아픈 것이 주된 증상. 증상이 심하면 악수를 하거나 문손잡이를 돌리는 등 일상적인 활동에서도 통증이 심하게 느껴질 수 있음.,외측상과염(테니스엘보),"정형외과, 마취통증의학과, 관절스포츠재활센터, 재활의학과","팔꿈치 통증, 손목 통증, 뻗치는 통증, 골프엘보, 내측상과염, 회전근개증후군"
양수빈,팔과 손,"신체 어느 부분의 근육이 비자발적으로 수축과 이완을 반복하여 규칙적으로 흔들리는 것. 본태성 떨림은 주로 손에서 많이 발생하는데, 손에서 발생하는 떨림은 수전증이라고도 부름. 손 외에도 팔, 다리, 턱, 혀, 성대, 머리 등 다양한 부위에서 떨림을 경험하는 사람들도 있음. 일상생활 중 도구를 사용해야 하거나, 무언가를 집으려고 손에 힘을 줄 때 본태성 떨림은 더 심해짐. 떨림은 상체에 주로 발생하고, 양측 모두 증상이 있는 경우가 많음",본태성 떨림(진전)(수전증),"신경과, 신경외과, ","손 떨림,  목소리 떨림,  턱 떨림,  고개 까딱거림, 떨림, 진전, 수전증"
양수빈,팔과 손,"당뇨병성 다발신경병증은 당뇨병이 있을 때 발생할 수 있는 합병증. 주로 말초신경이 손상. 다리와 발, 팔과 손이 저리고 아프거나 무감각해질 수 있음. 특히 밤에 잘 때 통증이 더 심함. 화끈거리거나 바늘로 콕콕 찌르는 느낌. 감각 이상은 사지 말단에서 시작해서 점점 위쪽으로 진행. 자율신경계가 손상되면 기립성저혈압이 발생하거나 동공 이상, 땀 분비 이상, 위장 장애 증상이 나타남",당뇨병성 다발신경병증,"마취통증의학과, 신경과, 내분비내과, 당뇨병센터, ","고혈당, 감각 이상,  따끔거림,  발 통증,  손가락 통증,  신경손상 2형 당뇨병,  당뇨병성신경병증,  당뇨병성 말초신경병증,  당뇨신경병증,  당뇨병성 망막병증"
양수빈,팔과 손,만성 신장병(신부전),동정맥루 기능부전,"이식외과, 이식혈관중환자외과, 대동맥혈관센터","신대체요법,  혈액투석,  인공신장실,  투석,  만성 신부전,  만성 신장병, 투석혈관,  혈관접근로"
양수빈,팔과 손,"듀피트렌 구축(뒤피트랑)은 손바닥 피부 아래에 있는 건막이 두꺼워지는 질환. 손바닥 피부 아래에 있는 근막이 섬유화되면서 두껍고 짧아지고, 짧아진 근막이 손가락을 잡아당기면서 손가락이 굽은 채로 고정되는 질환.  처음에는 넷째와 다섯째 손가락 아래쪽 손바닥이 두꺼워지면서 작은 덩어리가 생기거나, 움푹 들어가는 부위가 생김. 양손 모두 증상이 나타나기도 함.시간이 지나면서 서서히 손바닥에서 손가락 쪽까지 이어진 힘줄처럼 보이는 굵은 띠가 나타남. 굵은 띠는 점점 손가락을 잡아당기고, 나중에는 손가락이 손바닥 쪽으로 구부러지면서 펴지지 않음. 증상은 보통 수년에 걸쳐서 천천히 나빠진다. 신경이 같이 눌리면 통증이나 마비가 생기기도 한다. 발바닥에도 비슷한 증상이 생기는 사람도 있다. 손이 구부러져서 잘 펴지지 않거나, 손바닥에 딱딱한 덩어리가 만져진다.",듀피트렌 구축(뒤피트랑),정형외과,"손가락 오그라듬, 손바닥 구축,  손가락 구축,  손바닥 덩어리,  흡연,  음주, 뒤피트랑 구축,  뒤피트랑 구축,  뒤피트렌 구축,  손바닥근막성 섬유종증"
양수빈,팔과 손,"손톱이나 발톱의 가장자리가 휘어져서 연한 주변 살로 파고드는 질환. 발톱이 파고든 피부에 염증이나 감염이 생기면서 손을 사용하거나 걷기가 굉장히 불편. 주로 엄지발톱에서 잘 생김. 손발톱이 피부를 파고들면서 이물질로 작용해서, 심한 통증과 염증이 생김. 피부가 빨갛게 부어오르고, 감염이 생겨서 고름이 차기도 함. 당뇨병처럼 손이나 발 끝부분의 혈액순환이 좋지 않은 사람에게 내향성 손발톱이 생기면 상처가 잘 낫지 않고 피부가 괴사하는 합병증이 생기기도 함",내향성 손발톱,"피부과, 정형외과, ","손발톱 통증,  손발톱 고름,  손발톱 부종, 무지외반증,  족부백선,  맞지 않는 신발,  당뇨병성 족부병증,  당뇨발"
양수빈,팔과 손,"주로 6세 이하 영유아에게서 잘 발생. 증상은 3~7일의 잠복기가 지난 후 나타남. 전염력이 강함. 복기에도 전염성이 있어서 수족구병이 쉽게 퍼짐.  처음에는 열이 나고 컨디션이 떨어지기 때문에 감기처럼 보이지만 입안, 혀, 입술에 궤양이 생김. 손과 발에도 물집이 생김. 입안에 생긴 궤양으로 통증이 심하면 아이가 음식을 잘 안 먹으려할 수 있음. 열이 심하면 경련을 하기도함. 대게 7~10일 이내에 저절로 좋아지지만 드물게 뇌척수막염, 뇌염, 심근염과 같은 합병증이 나타날 수 있다.",수족구병 ,"소아청소년과, 소아감염면역과","손 물집,  발 물집,  입 물집,  고열,  식욕부진,  콕사키바이러스,  엔테로바이러스, 엔테로바이러스소수포구내염,  소수포구내염,  포진성 구협염,  헤르판지나"
양수빈,다리와 발," 증상은 보통 한쪽 다리에서 나타남. 혈관을 따라서 통증이나 열감이 느껴지고 발목을 움직일 때 종아리가 아프기도 함. 혈전이 생긴 쪽 다리가 붓기 시작하면서 다른 쪽 다리보다 둘레가 커지고, 부은 부위를 손가락으로 눌렀다 떼면 오목하게 자국이 남고, 다리 피부가 붉거나 푸르게 변하기도 함. 다리에 생겼던 혈전이 떨어져나와서 혈관을 타고 올라온 후 폐혈관을 막는 폐색전증이라는 합병증이 생길 수도 있음.  폐혈관이 막히면서 갑자기 호흡이 가빠지거나, 가슴에 통증이 생깁니다. 폐색전증은 생명을 위협할 수도 있는 위험한 상태",심부정맥혈전증,"혈관센터, 심장령관센터, 대동맥혈관센터","종아리 통증,  허벅지 통증,  다리 부종,  다리 열감,  종아리 당김,  다리 부음, 이코노미클래스증후군,  말초동맥폐쇄,  하지정맥류,  폐색전증"
양수빈,다리와 발,"전형적인 증상은 뒤꿈치 안쪽 부위의 통증으로, 자고 일어나서 아침에 첫발을 내디딜 때 또는 의자에 오래 앉아 있다가 일어나서 첫발을 디딜 때 통증이 심하게 나타나고, 계속 걸으면 오히려 통증이 완화되거나 사라진다. 잠을 자거나 오래 앉아 있는 동안 짧아진 족저근막이 움직이기 시작함에 따라 갑자기 늘어나면서 증상이 발생. 증상이 오래되면 통증이 뒤꿈치 안쪽뿐만 아니라 발바닥 전체로 퍼질 수 있으며, 오래 서 있거나 걷는 일이 많으면 증상이 심해지는 경우도 있음.",족저근막염,정형외과,"발바닥, 족저근막, 족저근막염, 스트레칭, 체외충격파, 발바닥통증, 뒤꿈치통증, 족부,  발,  걸음  통증,  운동,  스트레칭,  뒤꿈치"
양수빈,다리와 발,"지발가락(무지)이 두 번째 발가락 쪽으로 과도하게 휘고, 엄지발가락과 관절을 이루는 첫 번째 중족골은 발 안쪽으로 치우치는(외반) 변형을을 말한다. 엄지발가락이 두 번째 발가락 쪽으로 휘어 있다면 의심해봐야한다. 변형으로 인한 엄지발가락 돌출부의 통증. 엄지발가락이 밖으로 휘면서 돌출된 부분에 자극이 가해져 통증이 발생하며, 이러한 통증은 단순한 압통에서부터 돌출부의 말초신경 자극으로 인해 찌릿하거나 저린 등의 신경 증상. 엄지발가락의 통증 자체는 심하지 않으나 발의 변형으로 인해 하이힐과 같은 예쁜 신발을 신지 못하는 것을 더 불편해하는 경우도 있음.",무지외반증,정형외과,"엄지발가락 꺾임,  발가락 휘어짐,  보행장애, 발 통증, 평발,  하이힐,  관절염"
양수빈,다리와 발,"요산이 축적되어 발생하는 염증성 관절염. 관절이 갑작스럽게 붓고 열감과 심한 통증이 나타나는 통풍 발작, 즉 급성 관절염의 형태로 시작. 보통 한군데 관절에 급성 관절염이 나타나는데 주로 엄지발가락, 발목, 무릎 등 하지 관절에 흔히 발생. 특히 엄지발가락 관절염은 통풍 환자의 90% 이상에서 나타날 정도로 매우 흔하다. 하지 관절 외에 손목, 팔꿈치에도 관절염이 나타날 수 있습니다. 또한 관절염이 반복적으로 발생하면 여러 군데의 만성관절염으로 발전할 수 있다. 발열과 오한이 동반되기도 하며, 심한 경우 통풍 결절에 의해 관절이 손상돼 변형을 일으키기도 한다.  발열과 오한이 동반되기도 하며, 심한 경우 통풍 결절에 의해 관절이 손상돼 변형을 일으키기도 한다.",통풍,류마티스내과,"관절 통증, 관절 부종, 열감, 덩어리,  신장 결석, 고요산혈증, 대사증후군, 이상지질혈증, 비만, 통풍, 요산, 황제병, 퓨린, gout, uric acid, 엄지발가락통증, 통풍발작"
양수빈,다리와 발,"계단을 오르내리거나 오랫동안 걸을 때처럼 관절을 사용하고 난 뒤에 통증. 대부분 전신적인 증상은 없음. 처음에는 휴식을 취하고 나면 통증이 사라지지만, 골관절염이 심해지면 쉬고 있을 때도 통증이 나타날 수 있음. 관절을 움직이기가 점점 어려워지면서 관절에서 삐걱거리는 소리가 나거나 붓고 물이 차기도 함. 시간이 지날수록 관절에 변형이 생기고, 주변의 근육도 약해짐.",무릎 골관절염(퇴행성 관절염),"정형외과, 통증클리닉, 마취통증의학과, 재활의학과","무릎 통증,  무릎 삐걱거림,  무릎 부종,  관절 변형,  걷기 어려움,  파행성 보행, 퇴행성 관절염,  무릎관절증,  노화,  세균성 관절염, 인공관절,  류마티스관절염"
양수빈,다리와 발,"정맥이 늘어나면서 거미 다리 같은 붉거나 푸른 혈관이 피부에 비쳐 보인다. 굵은 혈관이 구불구불하게 튀어나오기도 한다. 다리가 붓거나 무겁고, 뻐근한 느낌이나 저린 느낌, 통증이 있기도 한다. 정맥의 기능이 심하게 떨어지면 다리 피부에 염증이나 궤양이 생기거나 혈관염이 생기기도 한다. 피부에 색소가 침착되면서 검붉은 색으로 변하기도 해요. 혈관에서 만들어진 혈전이 혈관을 타고 이동하면 폐색전증 등 위험한 합병증이 나타날 수도 있다.",하지정맥류,"심장혈관외과, 현관센터, 심장혈관센터, 대동맥혈관센터","혈관 튀어나옴,  혈관 구불구불,  다리 통증,  다리 무거움,  다리 궤양,  다리 쥐남,  다리 저림, 심부정맥혈전증,  말초동맥폐쇄,  폐색전증,  족저근막염,  정계정맥류  비만"
양수빈,다리와 발,"“잘 때마다 다리에 벌레가 기어 다니는 느낌이 들어요.”, “따끔거리며 스멀스멀 올라오는 느낌이 들어 잠을 못 자겠어요.” 이러한 경험. 다리의 불쾌한 감각으로 인하여 다리를 움직이지 않고는 견딜 수 없는 충동.  불쾌한 감각은 벌레 기어가는 느낌, 칼로 찌르는 느낌, 쑤시고 따끔거림, 타는 느낌, 전기 오는 느낌, 가려움 등 다양하게 주관적 증상이 나타나는데, 스트레칭을 하거나 움직이면 곧 증상이 나아짐. 낮보다는 주로 저녁, 밤에 잠들기 전에 발생하기 때문에 대부분 이 증상을 겪는 사람들은 잠들기 어렵고, 밤 중에 자주 깨어 수면장애가 발생하게 됨.",하지불안증후군,"신경과, 수면건강센터","다리 저림,  벌레 기어가는 느낌,  다리 간지러움,  다리 따끔거림, 도파민,  수면장애, 철결핍빈혈"
양수빈,다리와 발,"당뇨병성 다발신경병증은 당뇨병이 있을 때 발생할 수 있는 합병증. 주로 말초신경이 손상. 다리와 발, 팔과 손이 저리고 아프거나 무감각해질 수 있음. 특히 밤에 잘 때 통증이 더 심함. 화끈거리거나 바늘로 콕콕 찌르는 느낌. 감각 이상은 사지 말단에서 시작해서 점점 위쪽으로 진행. 자율신경계가 손상되면 기립성저혈압이 발생하거나 동공 이상, 땀 분비 이상, 위장 장애 증상이 나타남",당뇨병성 다발신경병증,"마취통증의학과, 신경과, 내분비내과, 당뇨병센터, ","고혈당,  감각 이상,  따끔거림,  발 통증,  손가락 통증,  신경손상 2형 당뇨병,  당뇨병성신경병증,  당뇨병성 말초신경병증,  당뇨신경병증 , 당뇨병성 망막병증"
양수빈,다리와 발,"선천성 만곡족을 가진 아기들의 발은 특징적인 모양으로 안쪽으로 휘어있다. 발이 안쪽으로 휘어진 모습이 곤봉이나 골프해 모양과 비슷하다. 영어로는 클럽풋(clubfoot)이라고 부른다. 발 모양을 강제로 바르게 하려고 하면 저항감이 느껴지고, 적절하게 치료를 받지 못하면 발바닥 대신 발등으로 땅을 디디게 되면서 걷기가 어려워진다. 선청성 만곡족을 가지고 있는 아기들의 약 15%에서는 고관절 이형성증 같은 다른 문제가 동반될 수 있다.",선천성 만곡족(내반첨족),"정형외과, 소아정형외과","발 휘어짐,  까치발,  다리 휨,  양수 부족,  양수과소증, 내반첨족,  첨내반족,  클럽풋,  뇌성마비,  척수수막류,  이분척추,  외반족,  오다리,  소아마비"
양수빈,다리와 발,"장 흔한 증상은 다리에서 엉덩이로 이어지는 통증. 일정한 거리를 걸으면 다리가 쥐가 난 것처럼 당기고 아파서 움직이기가 어려워 짐. 이런 증상을 간헐성파행이라고 부름. 처음에는 쉬고 나면 증상이 좋아지지만, 동맥이 심하게 좁아지면 움직이지 않아도 통증이 나타남. 발이 시리거나 감각이 둔해지고, 색이 변하기도 함. 혈액 순환이 나빠지면 발에 상처가 나도 잘 낫지 않고, 털이나 발톱도 잘 자라지 않음. 심하면 상처가 낫지 않고 조직이 죽어버리는 괴사가 일어나기도 함.",말초동맥질환,"심장내과, 심장형관외과, 혈관센터, 흉부외과, 대동맥혈관센터","다리 저림,  다리 통증,  간헐적 파행,  간헐성 파행,  파행성 보행,  ABI, 말초동맥폐쇄,  죽상경화증,  이상지질혈증,  콜레스테롤,  혈관염,  버거씨병"
양수빈,다리와 발,"손톱이나 발톱의 가장자리가 휘어져서 연한 주변 살로 파고드는 질환. 발톱이 파고든 피부에 염증이나 감염이 생기면서 손을 사용하거나 걷기가 굉장히 불편. 주로 엄지발톱에서 잘 생김. 손발톱이 피부를 파고들면서 이물질로 작용해서, 심한 통증과 염증이 생김. 피부가 빨갛게 부어오르고, 감염이 생겨서 고름이 차기도 함. 당뇨병처럼 손이나 발 끝부분의 혈액순환이 좋지 않은 사람에게 내향성 손발톱이 생기면 상처가 잘 낫지 않고 피부가 괴사하는 합병증이 생기기도 함",내향성 손발톱,"피부과, 정형외과, ","손발톱 통증,  손발톱 고름,  손발톱 부종, 무지외반증,  족부백선,  맞지 않는 신발,  당뇨병성 족부병증,  당뇨발"
